# Harman loudspeaker in-room 'flat' 2013 target from AutoEq (measured at the ear, so it includes head/ear gain around 3 kHz - NOT appropriate for a free-field phone mic in a car; included for reference only).
# Source: AutoEq (MIT license, Copyright (c) 2018-2022 Jaakko Pasanen) https://github.com/jaakkopasanen/AutoEq/blob/master/targets/Harman%20loudspeaker%20in-room%20flat%202013.csv
frequency,raw
20.00,-4.000
20.71,-4.000
21.44,-4.000
22.20,-4.000
22.98,-4.000
23.79,-4.054
24.63,-4.089
25.50,-4.100
26.40,-4.110
27.33,-4.148
28.30,-4.190
29.30,-4.200
30.33,-4.192
31.41,-4.163
32.52,-4.112
33.66,-4.057
34.85,-4.004
36.08,-3.957
37.36,-3.920
38.68,-3.946
40.04,-3.998
41.46,-4.000
42.92,-4.000
44.44,-4.045
46.01,-4.097
47.63,-4.100
49.32,-4.100
51.06,-4.100
52.86,-4.100
54.73,-4.100
56.66,-4.100
58.66,-4.100
60.74,-4.100
62.88,-4.151
65.10,-4.186
67.40,-4.200
69.78,-4.200
72.25,-4.242
74.80,-4.296
77.44,-4.300
80.18,-4.300
83.01,-4.260
85.94,-4.210
88.98,-4.120
92.12,-4.025
95.37,-3.931
98.74,-3.826
102.23,-3.800
105.84,-3.800
109.58,-3.761
113.45,-3.716
117.46,-3.700
121.60,-3.700
125.90,-3.671
130.35,-3.616
134.95,-3.600
139.72,-3.600
144.65,-3.563
149.76,-3.523
155.05,-3.472
160.53,-3.417
166.20,-3.400
172.07,-3.400
178.15,-3.438
184.44,-3.485
190.95,-3.500
197.70,-3.500
204.68,-3.500
211.91,-3.500
219.40,-3.500
227.15,-3.500
235.17,-3.473
243.48,-3.426
252.08,-3.307
260.98,-3.162
270.20,-3.041
279.74,-2.946
289.62,-2.841
299.85,-2.737
310.45,-2.674
321.41,-2.619
332.76,-2.549
344.52,-2.448
356.69,-2.374
369.28,-2.320
382.33,-2.254
395.83,-2.150
409.81,-2.075
424.29,-2.020
439.28,-1.975
454.79,-1.921
470.86,-1.875
487.49,-1.831
504.71,-1.776
522.54,-1.722
540.99,-1.652
560.10,-1.553
579.88,-1.476
600.37,-1.422
621.57,-1.376
643.53,-1.323
666.26,-1.277
689.79,-1.223
714.16,-1.134
739.38,-0.988
765.50,-0.861
792.54,-0.756
820.53,-0.613
849.51,-0.412
879.52,-0.262
910.59,-0.158
942.75,-0.078
976.05,-0.026
1010.53,0.036
1046.22,0.134
1083.17,0.236
1121.43,0.333
1161.05,0.480
1202.06,0.679
1244.51,0.900
1288.47,1.144
1333.98,1.410
1381.10,1.714
1429.89,2.051
1480.39,2.448
1532.68,2.848
1586.82,3.247
1642.87,3.636
1700.90,4.039
1760.98,4.453
1823.18,4.902
1887.58,5.350
1954.25,5.794
2023.28,6.296
2094.74,6.894
2168.73,7.502
2245.34,8.154
2324.64,8.722
2406.76,9.121
2491.77,9.510
2579.78,9.914
2670.90,10.253
2765.24,10.453
2862.92,10.653
2964.04,10.851
3068.74,10.998
3177.13,11.000
3289.35,10.939
3405.54,10.742
3525.83,10.534
3650.37,10.290
3779.30,10.028
3912.80,9.726
4051.00,9.430
4194.09,9.129
4342.24,8.832
4495.61,8.531
4654.40,8.234
4818.81,7.935
4989.02,7.659
5165.24,7.452
5347.68,7.257
5536.57,7.053
5732.14,6.858
5934.60,6.663
6144.23,6.453
6361.25,6.212
6585.94,5.959
6818.57,5.715
7059.41,5.422
7308.77,4.983
7566.93,4.535
7834.20,4.086
8110.92,3.647
8397.41,3.249
8694.03,2.850
9001.12,2.501
9319.05,2.143
9648.22,1.704
9989.01,1.223
10341.84,0.581
10707.13,-0.076
11085.33,-0.813
11476.88,-1.559
11882.27,-2.308
12301.97,-3.024
12736.50,-3.483
13186.38,-3.944
13652.14,-4.486
14134.36,-5.048
14633.61,-5.784
15150.50,-6.558
15685.64,-7.591
16239.69,-8.635
16813.31,-9.629
17407.18,-10.628
18022.04,-11.667
18658.61,-12.697
19317.66,-13.454
20000.00,-14.150
