# Harman over-ear 2018 headphone target from AutoEq (ear-drum reference; includes ear-canal gain around 3 kHz - NOT appropriate for a free-field mic; reference only).
# Source: AutoEq (MIT license, Copyright (c) 2018-2022 Jaakko Pasanen) https://github.com/jaakkopasanen/AutoEq/blob/master/targets/Harman%20over-ear%202018.csv
frequency,raw
20.00,3.860
20.71,3.955
21.44,4.020
22.20,4.040
22.98,4.030
23.79,4.030
24.63,4.021
25.50,4.020
26.40,4.010
27.33,4.000
28.30,3.981
29.30,3.970
30.33,3.952
31.41,3.930
32.52,3.910
33.66,3.887
34.85,3.852
36.08,3.817
37.36,3.782
38.68,3.747
40.04,3.702
41.46,3.667
42.92,3.632
44.44,3.565
46.01,3.505
47.63,3.448
49.32,3.359
51.06,3.274
52.86,3.196
54.73,3.107
56.66,3.027
58.66,2.947
60.74,2.861
62.88,2.746
65.10,2.652
67.40,2.547
69.78,2.442
72.25,2.328
74.80,2.207
77.44,2.098
80.18,1.978
83.01,1.859
85.94,1.729
88.98,1.590
92.12,1.435
95.37,1.281
98.74,1.111
102.23,0.942
105.84,0.778
109.58,0.603
113.45,0.419
117.46,0.225
121.60,0.050
125.90,-0.125
130.35,-0.309
134.95,-0.474
139.72,-0.634
144.65,-0.764
149.76,-0.894
155.05,-1.033
160.53,-1.173
166.20,-1.302
172.07,-1.439
178.15,-1.571
184.44,-1.698
190.95,-1.813
197.70,-1.917
204.68,-1.995
211.91,-2.052
219.40,-2.077
227.15,-2.090
235.17,-2.080
243.48,-2.048
252.08,-2.007
260.98,-1.947
270.20,-1.877
279.74,-1.807
289.62,-1.738
299.85,-1.668
310.45,-1.582
321.41,-1.498
332.76,-1.429
344.52,-1.359
356.69,-1.294
369.28,-1.239
382.33,-1.185
395.83,-1.140
409.81,-1.105
424.29,-1.070
439.28,-1.030
454.79,-0.981
470.86,-0.935
487.49,-0.881
504.71,-0.826
522.54,-0.762
540.99,-0.702
560.10,-0.642
579.88,-0.592
600.37,-0.541
621.57,-0.473
643.53,-0.421
666.26,-0.367
689.79,-0.323
714.16,-0.287
739.38,-0.244
765.50,-0.217
792.54,-0.190
820.53,-0.167
849.51,-0.150
879.52,-0.127
910.59,-0.103
942.75,-0.078
976.05,-0.033
1010.53,0.024
1046.22,0.094
1083.17,0.186
1121.43,0.297
1161.05,0.446
1202.06,0.613
1244.51,0.798
1288.47,1.014
1333.98,1.248
1381.10,1.502
1429.89,1.757
1480.39,2.001
1532.68,2.286
1586.82,2.595
1642.87,2.935
1700.90,3.299
1760.98,3.693
1823.18,4.102
1887.58,4.530
1954.25,4.974
2023.28,5.388
2094.74,5.761
2168.73,6.126
2245.34,6.484
2324.64,6.823
2406.76,7.120
2491.77,7.383
2579.78,7.608
2670.90,7.823
2765.24,8.009
2862.92,8.156
2964.04,8.274
3068.74,8.395
3177.13,8.503
3289.35,8.556
3405.54,8.580
3525.83,8.570
3650.37,8.504
3779.30,8.409
3912.80,8.272
4051.00,8.115
4194.09,7.916
4342.24,7.672
4495.61,7.403
4654.40,7.107
4818.81,6.793
4989.02,6.469
5165.24,6.196
5347.68,5.917
5536.57,5.648
5732.14,5.412
5934.60,5.201
6144.23,4.915
6361.25,4.612
6585.94,4.343
6818.57,4.052
7059.41,3.729
7308.77,3.364
7566.93,2.986
7834.20,2.637
8110.92,2.273
8397.41,1.879
8694.03,1.445
9001.12,1.002
9319.05,0.483
9648.22,-0.074
9989.01,-0.677
10341.84,-1.270
10707.13,-1.886
11085.33,-2.574
11476.88,-3.305
11882.27,-4.040
12301.97,-4.713
12736.50,-5.376
13186.38,-6.035
13652.14,-6.596
14134.36,-7.134
14633.61,-7.607
15150.50,-8.137
15685.64,-8.775
16239.69,-9.575
16813.31,-10.586
17407.18,-12.039
18022.04,-13.772
18658.61,-16.322
19317.66,-19.447
20000.00,-22.920
