# Binelli & Farina in-car target (AES 125th Conv. 2008, paper 7575), as plotted in Toole, 'The Measurement and Calibration of Sound Reproducing Systems', JAES 63(7/8), 2015, Fig. 15. Its 20-50 Hz high-pass (to -24 dB at 20 Hz) is NOT included; held flat below 50 Hz.
# Digitised BY EYE from the published plot against its gridlines (2026-09-18), ~+-1 dB; points: 50:7.6 100:8 500:0 700:-1.5 1000:-1.5 5000:-1.5 10000:-2.5 20000:-3.8
# Log-frequency interpolation, held flat beyond the end points. Level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,7.600
20.291,7.600
20.585,7.600
20.884,7.600
21.188,7.600
21.495,7.600
21.808,7.600
22.124,7.600
22.446,7.600
22.772,7.600
23.103,7.600
23.438,7.600
23.779,7.600
24.124,7.600
24.474,7.600
24.830,7.600
25.191,7.600
25.557,7.600
25.928,7.600
26.304,7.600
26.686,7.600
27.074,7.600
27.467,7.600
27.866,7.600
28.271,7.600
28.682,7.600
29.098,7.600
29.521,7.600
29.950,7.600
30.385,7.600
30.826,7.600
31.274,7.600
31.728,7.600
32.189,7.600
32.657,7.600
33.131,7.600
33.612,7.600
34.101,7.600
34.596,7.600
35.099,7.600
35.608,7.600
36.126,7.600
36.650,7.600
37.183,7.600
37.723,7.600
38.271,7.600
38.827,7.600
39.391,7.600
39.963,7.600
40.543,7.600
41.132,7.600
41.730,7.600
42.336,7.600
42.951,7.600
43.575,7.600
44.208,7.600
44.850,7.600
45.501,7.600
46.162,7.600
46.833,7.600
47.513,7.600
48.203,7.600
48.903,7.600
49.614,7.600
50.334,7.604
51.066,7.612
51.807,7.620
52.560,7.629
53.323,7.637
54.098,7.645
54.884,7.654
55.681,7.662
56.490,7.670
57.310,7.679
58.143,7.687
58.987,7.695
59.844,7.704
60.713,7.712
61.595,7.720
62.490,7.729
63.398,7.737
64.319,7.745
65.253,7.754
66.201,7.762
67.162,7.770
68.138,7.779
69.128,7.787
70.132,7.795
71.151,7.804
72.184,7.812
73.233,7.820
74.296,7.829
75.376,7.837
76.470,7.845
77.581,7.854
78.708,7.862
79.851,7.870
81.011,7.878
82.188,7.887
83.382,7.895
84.593,7.903
85.822,7.912
87.068,7.920
88.333,7.928
89.616,7.937
90.918,7.945
92.239,7.953
93.579,7.962
94.938,7.970
96.317,7.978
97.716,7.987
99.135,7.995
100.575,7.971
102.036,7.900
103.518,7.828
105.022,7.756
106.548,7.685
108.095,7.613
109.665,7.541
111.258,7.470
112.874,7.398
114.514,7.326
116.177,7.255
117.865,7.183
119.577,7.111
121.314,7.040
123.076,6.968
124.864,6.896
126.678,6.825
128.518,6.753
130.385,6.681
132.279,6.610
134.200,6.538
136.149,6.466
138.127,6.394
140.133,6.323
142.169,6.251
144.234,6.179
146.329,6.108
148.455,6.036
150.611,5.964
152.799,5.893
155.018,5.821
157.270,5.749
159.554,5.678
161.872,5.606
164.223,5.534
166.609,5.463
169.029,5.391
171.484,5.319
173.975,5.248
176.502,5.176
179.066,5.104
181.667,5.032
184.306,4.961
186.983,4.889
189.699,4.817
192.455,4.746
195.250,4.674
198.086,4.602
200.964,4.531
203.883,4.459
206.844,4.387
209.849,4.316
212.897,4.244
215.990,4.172
219.127,4.101
222.310,4.029
225.539,3.957
228.815,3.886
232.139,3.814
235.511,3.742
238.932,3.670
242.403,3.599
245.924,3.527
249.496,3.455
253.120,3.384
256.797,3.312
260.527,3.240
264.311,3.169
268.151,3.097
272.046,3.025
275.997,2.954
280.006,2.882
284.074,2.810
288.200,2.739
292.386,2.667
296.633,2.595
300.942,2.524
305.314,2.452
309.748,2.380
314.248,2.309
318.812,2.237
323.443,2.165
328.142,2.093
332.908,2.022
337.744,1.950
342.650,1.878
347.627,1.807
352.677,1.735
357.799,1.663
362.997,1.592
368.269,1.520
373.619,1.448
379.046,1.377
384.552,1.305
390.138,1.233
395.805,1.162
401.554,1.090
407.387,1.018
413.304,0.947
419.308,0.875
425.399,0.803
431.578,0.731
437.847,0.660
