# Classic B&K 1974 room curve (Bruel & Kjaer application note 17-197), as shipped with HouseCurve.
# Source: https://housecurve.com/curves/B&K.txt (HouseCurve, https://housecurve.com/docs/tuning/target_curve)
# Values are piecewise-linear in log-frequency between the published points; level is arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.00,0.000
20.71,0.040
21.44,0.079
22.20,0.119
22.98,0.158
23.79,0.198
24.63,0.238
25.50,0.277
26.40,0.317
27.33,0.356
28.30,0.396
29.30,0.436
30.33,0.475
31.41,0.505
32.52,0.517
33.66,0.529
34.85,0.541
36.08,0.554
37.36,0.566
38.68,0.578
40.04,0.590
41.46,0.602
42.92,0.615
44.44,0.627
46.01,0.639
47.63,0.651
49.32,0.664
51.06,0.676
52.86,0.688
54.73,0.700
56.66,0.713
58.66,0.725
60.74,0.737
62.88,0.749
65.10,0.733
67.40,0.716
69.78,0.698
72.25,0.680
74.80,0.662
77.44,0.645
80.18,0.627
83.01,0.609
85.94,0.591
88.98,0.574
92.12,0.556
95.37,0.538
98.74,0.520
102.23,0.503
105.84,0.485
109.58,0.467
113.45,0.450
117.46,0.432
121.60,0.414
125.90,0.393
130.35,0.361
134.95,0.328
139.72,0.296
144.65,0.263
149.76,0.231
155.05,0.198
160.53,0.165
166.20,0.133
172.07,0.100
178.15,0.068
184.44,0.035
190.95,0.003
197.70,-0.030
204.68,-0.062
211.91,-0.095
219.40,-0.128
227.15,-0.160
235.17,-0.193
243.48,-0.225
252.08,-0.259
260.98,-0.297
270.20,-0.334
279.74,-0.372
289.62,-0.409
299.85,-0.447
310.45,-0.484
321.41,-0.522
332.76,-0.559
344.52,-0.597
356.69,-0.635
369.28,-0.672
382.33,-0.710
395.83,-0.747
409.81,-0.785
424.29,-0.822
439.28,-0.860
454.79,-0.897
470.86,-0.935
487.49,-0.973
504.71,-1.010
522.54,-1.048
540.99,-1.085
560.10,-1.123
579.88,-1.160
600.37,-1.198
621.57,-1.235
643.53,-1.273
666.26,-1.311
689.79,-1.348
714.16,-1.386
739.38,-1.423
765.50,-1.461
792.54,-1.498
820.53,-1.536
849.51,-1.574
879.52,-1.611
910.59,-1.649
942.75,-1.686
976.05,-1.724
1010.53,-1.761
1046.22,-1.799
1083.17,-1.836
1121.43,-1.874
1161.05,-1.912
1202.06,-1.949
1244.51,-1.987
1288.47,-2.024
1333.98,-2.062
1381.10,-2.099
1429.89,-2.137
1480.39,-2.174
1532.68,-2.212
1586.82,-2.250
1642.87,-2.287
1700.90,-2.325
1760.98,-2.362
1823.18,-2.400
1887.58,-2.437
1954.25,-2.475
2023.28,-2.515
2094.74,-2.560
2168.73,-2.605
2245.34,-2.650
2324.64,-2.695
2406.76,-2.740
2491.77,-2.785
2579.78,-2.831
2670.90,-2.876
2765.24,-2.921
2862.92,-2.966
2964.04,-3.011
3068.74,-3.056
3177.13,-3.101
3289.35,-3.146
3405.54,-3.191
3525.83,-3.236
3650.37,-3.281
3779.30,-3.326
3912.80,-3.371
4051.00,-3.419
4194.09,-3.472
4342.24,-3.524
4495.61,-3.577
4654.40,-3.630
4818.81,-3.682
4989.02,-3.735
5165.24,-3.787
5347.68,-3.840
5536.57,-3.892
5732.14,-3.945
5934.60,-3.998
6144.23,-4.050
6361.25,-4.103
6585.94,-4.155
6818.57,-4.208
7059.41,-4.261
7308.77,-4.313
7566.93,-4.366
7834.20,-4.418
8110.92,-4.470
8397.41,-4.520
8694.03,-4.570
9001.12,-4.620
9319.05,-4.670
9648.22,-4.720
9989.01,-4.770
10341.84,-4.820
10707.13,-4.871
11085.33,-4.921
11476.88,-4.971
11882.27,-5.021
12301.97,-5.071
12736.50,-5.121
13186.38,-5.171
13652.14,-5.221
14134.36,-5.271
14633.61,-5.321
15150.50,-5.371
15685.64,-5.421
16239.69,-5.473
16813.31,-5.528
17407.18,-5.582
18022.04,-5.637
18658.61,-5.691
19317.66,-5.746
20000.00,-5.800
