# Clark in-car target (D. Clark, AES 110th Conv. 2001, paper 5407), as plotted in Toole, 'The Measurement and Calibration of Sound Reproducing Systems', JAES 63(7/8), 2015, Fig. 15.
# Digitised BY EYE from the published plot against its gridlines (2026-09-18), ~+-1 dB; points: 20:18.5 50:10.3 100:5.9 200:3 500:0.5 1000:-0.4 2000:-2 5000:-4.2 10000:-7 20000:-10
# Log-frequency interpolation, held flat beyond the end points. Level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,18.500
20.291,18.371
20.585,18.242
20.884,18.113
21.188,17.984
21.495,17.855
21.808,17.726
22.124,17.597
22.446,17.468
22.772,17.338
23.103,17.209
23.438,17.080
23.779,16.951
24.124,16.822
24.474,16.693
24.830,16.564
25.191,16.435
25.557,16.306
25.928,16.177
26.304,16.048
26.686,15.919
27.074,15.790
27.467,15.661
27.866,15.532
28.271,15.403
28.682,15.274
29.098,15.145
29.521,15.015
29.950,14.886
30.385,14.757
30.826,14.628
31.274,14.499
31.728,14.370
32.189,14.241
32.657,14.112
33.131,13.983
33.612,13.854
34.101,13.725
34.596,13.596
35.099,13.467
35.608,13.338
36.126,13.209
36.650,13.080
37.183,12.951
37.723,12.821
38.271,12.692
38.827,12.563
39.391,12.434
39.963,12.305
40.543,12.176
41.132,12.047
41.730,11.918
42.336,11.789
42.951,11.660
43.575,11.531
44.208,11.402
44.850,11.273
45.501,11.144
46.162,11.015
46.833,10.886
47.513,10.757
48.203,10.628
48.903,10.498
49.614,10.369
50.334,10.258
51.066,10.166
51.807,10.075
52.560,9.983
53.323,9.892
54.098,9.800
54.884,9.708
55.681,9.617
56.490,9.525
57.310,9.434
58.143,9.342
58.987,9.251
59.844,9.159
60.713,9.068
61.595,8.976
62.490,8.885
63.398,8.793
64.319,8.701
65.253,8.610
66.201,8.518
67.162,8.427
68.138,8.335
69.128,8.244
70.132,8.152
71.151,8.061
72.184,7.969
73.233,7.878
74.296,7.786
75.376,7.694
76.470,7.603
77.581,7.511
78.708,7.420
79.851,7.328
81.011,7.237
82.188,7.145
83.382,7.054
84.593,6.962
85.822,6.871
87.068,6.779
88.333,6.687
89.616,6.596
90.918,6.504
92.239,6.413
93.579,6.321
94.938,6.230
96.317,6.138
97.716,6.047
99.135,5.955
100.575,5.876
102.036,5.816
103.518,5.755
105.022,5.695
106.548,5.635
108.095,5.574
109.665,5.514
111.258,5.454
112.874,5.393
114.514,5.333
116.177,5.273
117.865,5.212
119.577,5.152
121.314,5.092
123.076,5.031
124.864,4.971
126.678,4.911
128.518,4.850
130.385,4.790
132.279,4.730
134.200,4.669
136.149,4.609
138.127,4.549
140.133,4.488
142.169,4.428
144.234,4.368
146.329,4.307
148.455,4.247
150.611,4.187
152.799,4.126
155.018,4.066
157.270,4.006
159.554,3.945
161.872,3.885
164.223,3.825
166.609,3.764
169.029,3.704
171.484,3.644
173.975,3.583
176.502,3.523
179.066,3.463
181.667,3.402
184.306,3.342
186.983,3.282
189.699,3.221
192.455,3.161
195.250,3.101
198.086,3.040
200.964,2.987
203.883,2.948
206.844,2.908
209.849,2.869
212.897,2.829
215.990,2.790
219.127,2.751
222.310,2.711
225.539,2.672
228.815,2.633
232.139,2.593
235.511,2.554
238.932,2.515
242.403,2.475
245.924,2.436
249.496,2.397
253.120,2.357
256.797,2.318
260.527,2.279
264.311,2.239
268.151,2.200
272.046,2.161
275.997,2.121
280.006,2.082
284.074,2.043
288.200,2.003
292.386,1.964
296.633,1.925
300.942,1.885
305.314,1.846
309.748,1.806
314.248,1.767
318.812,1.728
323.443,1.688
328.142,1.649
332.908,1.610
337.744,1.570
342.650,1.531
347.627,1.492
352.677,1.452
357.799,1.413
362.997,1.374
368.269,1.334
373.619,1.295
379.046,1.256
384.552,1.216
390.138,1.177
395.805,1.138
401.554,1.098
407.387,1.059
413.304,1.020
419.308,0.980
425.399,0.941
431.578,0.902
437.847,0.862
444.207,0.823
450.659,0.783
457.205,0.744
463.847,0.705
470.584,0.665
477.420,0.626
484.355,0.587
