# Lower of two REW target curves in a screenshot of DMS's car project (source not published): ~+10 dB low shelf turning over near 80 Hz, treble -1.5 dB at 20 kHz.
# Digitised BY EYE from the published plot against its gridlines (2026-09-18), ~+-1 dB; points: 20:10.5 40:10 50:9 60:7.9 80:5.5 100:4 200:1.4 500:0.7 1000:0 2000:-0.6 4000:-1.2 10000:-1.4 20000:-1.5
# Log-frequency interpolation, held flat beyond the end points. Level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,10.500
20.291,10.490
20.585,10.479
20.884,10.469
21.188,10.458
21.495,10.448
21.808,10.438
22.124,10.427
22.446,10.417
22.772,10.406
23.103,10.396
23.438,10.386
23.779,10.375
24.124,10.365
24.474,10.354
24.830,10.344
25.191,10.334
25.557,10.323
25.928,10.313
26.304,10.302
26.686,10.292
27.074,10.282
27.467,10.271
27.866,10.261
28.271,10.250
28.682,10.240
29.098,10.230
29.521,10.219
29.950,10.209
30.385,10.198
30.826,10.188
31.274,10.178
31.728,10.167
32.189,10.157
32.657,10.146
33.131,10.136
33.612,10.126
34.101,10.115
34.596,10.105
35.099,10.094
35.608,10.084
36.126,10.073
36.650,10.063
37.183,10.053
37.723,10.042
38.271,10.032
38.827,10.021
39.391,10.011
39.963,10.001
40.543,9.940
41.132,9.875
41.730,9.810
42.336,9.746
42.951,9.681
43.575,9.616
44.208,9.552
44.850,9.487
45.501,9.423
46.162,9.358
46.833,9.293
47.513,9.229
48.203,9.164
48.903,9.099
49.614,9.035
50.334,8.960
51.066,8.873
51.807,8.786
52.560,8.699
53.323,8.612
54.098,8.525
54.884,8.438
55.681,8.351
56.490,8.264
57.310,8.177
58.143,8.090
58.987,8.003
59.844,7.916
60.713,7.801
61.595,7.681
62.490,7.561
63.398,7.440
64.319,7.320
65.253,7.200
66.201,7.080
67.162,6.959
68.138,6.839
69.128,6.719
70.132,6.598
71.151,6.478
72.184,6.358
73.233,6.237
74.296,6.117
75.376,5.997
76.470,5.876
77.581,5.756
78.708,5.636
79.851,5.516
81.011,5.416
82.188,5.319
83.382,5.222
84.593,5.125
85.822,5.028
87.068,4.931
88.333,4.834
89.616,4.737
90.918,4.640
92.239,4.543
93.579,4.446
94.938,4.349
96.317,4.252
97.716,4.155
99.135,4.058
100.575,3.978
102.036,3.924
103.518,3.870
105.022,3.816
106.548,3.762
108.095,3.708
109.665,3.654
111.258,3.600
112.874,3.546
114.514,3.492
116.177,3.438
117.865,3.383
119.577,3.329
121.314,3.275
123.076,3.221
124.864,3.167
126.678,3.113
128.518,3.059
130.385,3.005
132.279,2.951
134.200,2.897
136.149,2.843
138.127,2.788
140.133,2.734
142.169,2.680
144.234,2.626
146.329,2.572
148.455,2.518
150.611,2.464
152.799,2.410
155.018,2.356
157.270,2.302
159.554,2.247
161.872,2.193
164.223,2.139
166.609,2.085
169.029,2.031
171.484,1.977
173.975,1.923
176.502,1.869
179.066,1.815
181.667,1.761
184.306,1.707
186.983,1.652
189.699,1.598
192.455,1.544
195.250,1.490
198.086,1.436
200.964,1.396
203.883,1.385
206.844,1.374
209.849,1.363
212.897,1.352
215.990,1.341
219.127,1.330
222.310,1.319
225.539,1.308
228.815,1.297
232.139,1.286
235.511,1.275
238.932,1.264
242.403,1.253
245.924,1.242
249.496,1.231
253.120,1.220
256.797,1.209
260.527,1.198
264.311,1.187
268.151,1.176
272.046,1.165
275.997,1.154
280.006,1.143
284.074,1.132
288.200,1.121
292.386,1.110
296.633,1.099
300.942,1.088
305.314,1.077
309.748,1.066
314.248,1.055
318.812,1.044
323.443,1.033
328.142,1.022
332.908,1.011
337.744,1.000
342.650,0.989
347.627,0.978
352.677,0.967
357.799,0.956
362.997,0.945
368.269,0.934
373.619,0.923
379.046,0.912
384.552,0.901
390.138,0.890
395.805,0.879
401.554,0.868
407.387,0.856
413.304,0.845
419.308,0.834
425.399,0.823
431.578,0.812
437.847,0.801
444.207,0.790
450.659,0.779
457.205,0.768
463.847,0.757
470.584,0.746
477.420,0.735
484.355,0.724
491.390,0.713
498.528,0.702
505.770,0.688
513.116,0.674
520.570,0.659
528.131,0.645
535.803,0.630
543.586,0.616
551.482,0.601
559.492,0.586
567.619,0.572
575.864,0.557
584.229,0.543
592.715,0.528
601.325,0.514
610.060,0.499
618.921,0.485
627.912,0.470
637.032,0.455
646.286,0.441
655.673,0.426
665.198,0.412
674.860,0.397
684.663,0.383
694.608,0.368
704.698,0.353
714.934,0.339
725.319,0.324
735.855,0.310
746.543,0.295
757.387,0.281
768.389,0.266
779.550,0.252
790.874,0.237
802.362,0.222
814.017,0.208
825.841,0.193
837.837,0.179
850.007,0.164
862.354,0.150
874.880,0.135
887.588,0.120
900.481,0.106
913.561,0.091
926.831,0.077
940.294,0.062
953.953,0.048
967.810,0.033
981.868,0.018
996.130,0.004
1010.599,-0.009
1025.279,-0.022
1040.172,-0.034
1055.281,-0.047
1070.610,-0.059
1086.161,-0.072
1101.938,-0.084
1117.945,-0.097
1134.184,-0.109
1150.659,-0.121
1167.373,-0.134
1184.330,-0.146
1201.533,-0.159
1218.986,-0.171
1236.693,-0.184
1254.656,-0.196
1272.881,-0.209
1291.371,-0.221
1310.129,-0.234
1329.159,-0.246
1348.466,-0.259
1368.053,-0.271
1387.925,-0.284
1408.086,-0.296
1428.539,-0.309
1449.290,-0.321
1470.342,-0.334
1491.700,-0.346
1513.367,-0.359
1535.350,-0.371
1557.652,-0.384
1580.278,-0.396
1603.233,-0.409
1626.521,-0.421
1650.147,-0.434
1674.117,-0.446
1698.434,-0.459
1723.105,-0.471
1748.135,-0.483
1773.528,-0.496
1799.289,-0.508
1825.425,-0.521
1851.941,-0.533
1878.841,-0.546
1906.133,-0.558
1933.821,-0.571
1961.911,-0.583
1990.409,-0.596
2019.321,-0.608
2048.653,-0.621
2078.411,-0.633
2108.601,-0.646
2139.230,-0.658
2170.304,-0.671
2201.829,-0.683
2233.812,-0.696
2266.260,-0.708
2299.179,-0.721
2332.576,-0.733
2366.458,-0.746
2400.833,-0.758
2435.707,-0.771
2471.087,-0.783
2506.981,-0.796
2543.397,-0.808
2580.341,-0.821
2617.823,-0.833
2655.848,-0.846
2694.426,-0.858
2733.565,-0.870
2773.272,-0.883
2813.555,-0.895
2854.424,-0.908
2895.887,-0.920
2937.951,-0.933
2980.627,-0.945
3023.923,-0.958
3067.847,-0.970
3112.410,-0.983
3157.620,-0.995
3203.486,-1.008
3250.019,-1.020
3297.228,-1.033
3345.123,-1.045
3393.713,-1.058
3443.009,-1.070
3493.021,-1.083
3543.759,-1.095
3595.235,-1.108
3647.458,-1.120
3700.440,-1.133
3754.192,-1.145
3808.724,-1.158
3864.048,-1.170
3920.176,-1.183
3977.119,-1.195
4034.890,-1.202
4093.499,-1.205
4152.960,-1.208
4213.285,-1.211
4274.486,-1.214
4336.575,-1.218
4399.567,-1.221
4463.474,-1.224
4528.309,-1.227
4594.086,-1.230
4660.818,-1.233
4728.520,-1.237
4797.205,-1.240
4866.887,-1.243
4937.582,-1.246
5009.304,-1.249
5082.068,-1.252
5155.888,-1.255
5230.781,-1.259
5306.762,-1.262
5383.846,-1.265
5462.050,-1.268
5541.390,-1.271
5621.883,-1.274
5703.544,-1.277
5786.392,-1.281
