# Upper of two REW target curves in a screenshot of DMS's car project (source not published): ~2.5 dB/oct bass tilt below 300 Hz, treble -1.1 dB at 20 kHz.
# Digitised BY EYE from the published plot against its gridlines (2026-09-18), ~+-1 dB; points: 20:13.3 50:10 100:7.5 200:5 500:1.1 1000:0 2000:-0.6 4000:-1 10000:-1.1 20000:-1.1
# Log-frequency interpolation, held flat beyond the end points. Level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,13.300
20.291,13.248
20.585,13.196
20.884,13.144
21.188,13.092
21.495,13.040
21.808,12.988
22.124,12.936
22.446,12.884
22.772,12.833
23.103,12.781
23.438,12.729
23.779,12.677
24.124,12.625
24.474,12.573
24.830,12.521
25.191,12.469
25.557,12.417
25.928,12.365
26.304,12.313
26.686,12.261
27.074,12.209
27.467,12.157
27.866,12.105
28.271,12.053
28.682,12.002
29.098,11.950
29.521,11.898
29.950,11.846
30.385,11.794
30.826,11.742
31.274,11.690
31.728,11.638
32.189,11.586
32.657,11.534
33.131,11.482
33.612,11.430
34.101,11.378
34.596,11.326
35.099,11.274
35.608,11.222
36.126,11.171
36.650,11.119
37.183,11.067
37.723,11.015
38.271,10.963
38.827,10.911
39.391,10.859
39.963,10.807
40.543,10.755
41.132,10.703
41.730,10.651
42.336,10.599
42.951,10.547
43.575,10.495
44.208,10.443
44.850,10.391
45.501,10.340
46.162,10.288
46.833,10.236
47.513,10.184
48.203,10.132
48.903,10.080
49.614,10.028
50.334,9.976
51.066,9.924
51.807,9.872
52.560,9.820
53.323,9.768
54.098,9.716
54.884,9.664
55.681,9.612
56.490,9.560
57.310,9.508
58.143,9.456
58.987,9.404
59.844,9.352
60.713,9.300
61.595,9.248
62.490,9.196
63.398,9.144
64.319,9.092
65.253,9.040
66.201,8.988
67.162,8.936
68.138,8.884
69.128,8.832
70.132,8.780
71.151,8.728
72.184,8.676
73.233,8.624
74.296,8.572
75.376,8.520
76.470,8.468
77.581,8.416
78.708,8.364
79.851,8.312
81.011,8.260
82.188,8.207
83.382,8.155
84.593,8.103
85.822,8.051
87.068,7.999
88.333,7.947
89.616,7.895
90.918,7.843
92.239,7.791
93.579,7.739
94.938,7.687
96.317,7.635
97.716,7.583
99.135,7.531
100.575,7.479
102.036,7.427
103.518,7.375
105.022,7.323
106.548,7.271
108.095,7.219
109.665,7.167
111.258,7.115
112.874,7.063
114.514,7.011
116.177,6.959
117.865,6.907
119.577,6.855
121.314,6.803
123.076,6.751
124.864,6.699
126.678,6.647
128.518,6.595
130.385,6.543
132.279,6.491
134.200,6.439
136.149,6.387
138.127,6.335
140.133,6.283
142.169,6.231
144.234,6.179
146.329,6.127
148.455,6.075
150.611,6.023
152.799,5.971
155.018,5.919
157.270,5.867
159.554,5.815
161.872,5.763
164.223,5.711
166.609,5.659
169.029,5.607
171.484,5.555
173.975,5.503
176.502,5.451
179.066,5.399
181.667,5.347
184.306,5.295
186.983,5.243
189.699,5.191
192.455,5.139
195.250,5.087
198.086,5.035
200.964,4.980
203.883,4.918
206.844,4.857
209.849,4.795
212.897,4.734
215.990,4.673
219.127,4.611
222.310,4.550
225.539,4.488
228.815,4.427
232.139,4.366
235.511,4.304
238.932,4.243
242.403,4.182
245.924,4.120
249.496,4.059
253.120,3.997
256.797,3.936
260.527,3.875
264.311,3.813
268.151,3.752
272.046,3.691
275.997,3.629
280.006,3.568
284.074,3.506
288.200,3.445
292.386,3.384
296.633,3.322
300.942,3.261
305.314,3.199
309.748,3.138
314.248,3.077
318.812,3.015
323.443,2.954
328.142,2.893
332.908,2.831
337.744,2.770
342.650,2.708
347.627,2.647
352.677,2.586
357.799,2.524
362.997,2.463
368.269,2.402
373.619,2.340
379.046,2.279
384.552,2.217
390.138,2.156
395.805,2.095
401.554,2.033
407.387,1.972
413.304,1.910
419.308,1.849
425.399,1.788
431.578,1.726
437.847,1.665
444.207,1.604
450.659,1.542
457.205,1.481
463.847,1.419
470.584,1.358
477.420,1.297
484.355,1.235
491.390,1.174
498.528,1.113
505.770,1.082
513.116,1.059
520.570,1.036
528.131,1.013
535.803,0.990
543.586,0.967
551.482,0.944
559.492,0.922
567.619,0.899
575.864,0.876
584.229,0.853
592.715,0.830
601.325,0.807
610.060,0.784
618.921,0.761
627.912,0.739
637.032,0.716
646.286,0.693
655.673,0.670
665.198,0.647
674.860,0.624
684.663,0.601
694.608,0.578
704.698,0.555
714.934,0.533
725.319,0.510
735.855,0.487
746.543,0.464
757.387,0.441
768.389,0.418
779.550,0.395
790.874,0.372
802.362,0.349
814.017,0.327
825.841,0.304
837.837,0.281
850.007,0.258
862.354,0.235
874.880,0.212
887.588,0.189
900.481,0.166
913.561,0.143
926.831,0.121
940.294,0.098
953.953,0.075
967.810,0.052
981.868,0.029
996.130,0.006
1010.599,-0.009
1025.279,-0.022
1040.172,-0.034
1055.281,-0.047
1070.610,-0.059
1086.161,-0.072
1101.938,-0.084
1117.945,-0.097
1134.184,-0.109
1150.659,-0.121
1167.373,-0.134
1184.330,-0.146
1201.533,-0.159
1218.986,-0.171
1236.693,-0.184
1254.656,-0.196
1272.881,-0.209
1291.371,-0.221
1310.129,-0.234
1329.159,-0.246
1348.466,-0.259
1368.053,-0.271
1387.925,-0.284
1408.086,-0.296
1428.539,-0.309
1449.290,-0.321
1470.342,-0.334
1491.700,-0.346
1513.367,-0.359
1535.350,-0.371
1557.652,-0.384
1580.278,-0.396
1603.233,-0.409
1626.521,-0.421
1650.147,-0.434
1674.117,-0.446
1698.434,-0.459
1723.105,-0.471
1748.135,-0.483
1773.528,-0.496
1799.289,-0.508
1825.425,-0.521
1851.941,-0.533
1878.841,-0.546
1906.133,-0.558
1933.821,-0.571
1961.911,-0.583
1990.409,-0.596
2019.321,-0.606
2048.653,-0.614
2078.411,-0.622
2108.601,-0.631
2139.230,-0.639
2170.304,-0.647
2201.829,-0.655
2233.812,-0.664
2266.260,-0.672
2299.179,-0.680
2332.576,-0.689
2366.458,-0.697
2400.833,-0.705
2435.707,-0.714
2471.087,-0.722
2506.981,-0.730
2543.397,-0.739
2580.341,-0.747
2617.823,-0.755
2655.848,-0.764
2694.426,-0.772
2733.565,-0.780
2773.272,-0.789
2813.555,-0.797
2854.424,-0.805
2895.887,-0.814
2937.951,-0.822
2980.627,-0.830
3023.923,-0.839
3067.847,-0.847
3112.410,-0.855
3157.620,-0.864
3203.486,-0.872
3250.019,-0.880
3297.228,-0.889
3345.123,-0.897
3393.713,-0.905
3443.009,-0.913
3493.021,-0.922
3543.759,-0.930
3595.235,-0.938
3647.458,-0.947
3700.440,-0.955
3754.192,-0.963
3808.724,-0.972
3864.048,-0.980
3920.176,-0.988
3977.119,-0.997
4034.890,-1.001
4093.499,-1.003
4152.960,-1.004
4213.285,-1.006
4274.486,-1.007
