# Default in-car target for careq: Harman-style stand-in.
# This is HouseCurve's 'Car B' (variant of the JBL car curve): +6 dB below 40 Hz, +1 dB at 250 Hz, 0 dB at 2 kHz, -5 dB at 20 kHz.
# It approximates the bass-heavy, gently downward-tilted in-car preference reported by Harman (Olive et al.).
# Replace with a better-sourced curve when available; any frequency,dB text file works with 'careq fit --target'.
# Source: https://housecurve.com/curves/Car_B_web.txt
frequency,raw
20.00,6.000
20.71,6.000
21.44,6.000
22.20,6.000
22.98,6.000
23.79,6.000
24.63,6.000
25.50,6.000
26.40,6.000
27.33,6.000
28.30,6.000
29.30,6.000
30.33,6.000
31.41,6.000
32.52,6.000
33.66,6.000
34.85,6.000
36.08,6.000
37.36,6.000
38.68,6.000
40.04,5.997
41.46,5.902
42.92,5.808
44.44,5.713
46.01,5.618
47.63,5.523
49.32,5.429
51.06,5.334
52.86,5.239
54.73,5.145
56.66,5.050
58.66,4.955
60.74,4.860
62.88,4.766
65.10,4.671
67.40,4.576
69.78,4.482
72.25,4.387
74.80,4.292
77.44,4.198
80.18,4.103
83.01,4.008
85.94,3.913
88.98,3.819
92.12,3.724
95.37,3.629
98.74,3.535
102.23,3.440
105.84,3.345
109.58,3.250
113.45,3.156
117.46,3.061
121.60,2.966
125.90,2.872
130.35,2.777
134.95,2.682
139.72,2.587
144.65,2.493
149.76,2.398
155.05,2.303
160.53,2.209
166.20,2.114
172.07,2.019
178.15,1.925
184.44,1.830
190.95,1.735
197.70,1.640
204.68,1.546
211.91,1.451
219.40,1.356
227.15,1.262
235.17,1.167
243.48,1.072
252.08,0.996
260.98,0.979
270.20,0.963
279.74,0.946
289.62,0.929
299.85,0.913
310.45,0.896
321.41,0.879
332.76,0.862
344.52,0.846
356.69,0.829
369.28,0.812
382.33,0.796
395.83,0.779
409.81,0.762
424.29,0.746
439.28,0.729
454.79,0.712
470.86,0.696
487.49,0.679
504.71,0.662
522.54,0.645
540.99,0.629
560.10,0.612
579.88,0.595
600.37,0.579
621.57,0.562
643.53,0.545
666.26,0.529
689.79,0.512
714.16,0.495
739.38,0.479
765.50,0.462
792.54,0.445
820.53,0.428
849.51,0.412
879.52,0.395
910.59,0.378
942.75,0.362
976.05,0.345
1010.53,0.328
1046.22,0.312
1083.17,0.295
1121.43,0.278
1161.05,0.262
1202.06,0.245
1244.51,0.228
1288.47,0.211
1333.98,0.195
1381.10,0.178
1429.89,0.161
1480.39,0.145
1532.68,0.128
1586.82,0.111
1642.87,0.095
1700.90,0.078
1760.98,0.061
1823.18,0.045
1887.58,0.028
1954.25,0.011
2023.28,-0.025
2094.74,-0.101
2168.73,-0.176
2245.34,-0.251
2324.64,-0.327
2406.76,-0.402
2491.77,-0.477
2579.78,-0.553
2670.90,-0.628
2765.24,-0.704
2862.92,-0.779
2964.04,-0.854
3068.74,-0.930
3177.13,-1.005
3289.35,-1.080
3405.54,-1.156
3525.83,-1.231
3650.37,-1.307
3779.30,-1.382
3912.80,-1.457
4051.00,-1.533
4194.09,-1.608
4342.24,-1.683
4495.61,-1.759
4654.40,-1.834
4818.81,-1.910
4989.02,-1.985
5165.24,-2.060
5347.68,-2.136
5536.57,-2.211
5732.14,-2.286
5934.60,-2.362
6144.23,-2.437
6361.25,-2.513
6585.94,-2.588
6818.57,-2.663
7059.41,-2.739
7308.77,-2.814
7566.93,-2.889
7834.20,-2.965
8110.92,-3.040
8397.41,-3.116
8694.03,-3.191
9001.12,-3.266
9319.05,-3.342
9648.22,-3.417
9989.01,-3.492
10341.84,-3.568
10707.13,-3.643
11085.33,-3.719
11476.88,-3.794
11882.27,-3.869
12301.97,-3.945
12736.50,-4.020
13186.38,-4.095
13652.14,-4.171
14134.36,-4.246
14633.61,-4.322
15150.50,-4.397
15685.64,-4.472
16239.69,-4.548
16813.31,-4.623
17407.18,-4.698
18022.04,-4.774
18658.61,-4.849
19317.66,-4.925
20000.00,-5.000
