# HouseCurve 'Car A' - based on the JBL car curve. +9 dB shelf below 60 Hz, flat 160 Hz-3 kHz, -6 dB at 20 kHz.
# Source: https://housecurve.com/curves/Car_A_web.txt (HouseCurve, https://housecurve.com/docs/tuning/target_curve)
# Values are piecewise-linear in log-frequency between the published points; level is arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.00,9.000
20.71,9.000
21.44,9.000
22.20,9.000
22.98,9.000
23.79,9.000
24.63,9.000
25.50,9.000
26.40,9.000
27.33,9.000
28.30,9.000
29.30,9.000
30.33,9.000
31.41,9.000
32.52,9.000
33.66,9.000
34.85,9.000
36.08,9.000
37.36,9.000
38.68,9.000
40.04,9.000
41.46,9.000
42.92,9.000
44.44,9.000
46.01,9.000
47.63,9.000
49.32,9.000
51.06,9.000
52.86,9.000
54.73,9.000
56.66,9.000
58.66,9.000
60.74,8.888
62.88,8.570
65.10,8.251
67.40,7.933
69.78,7.614
72.25,7.296
74.80,6.977
77.44,6.659
80.18,6.340
83.01,6.022
85.94,5.703
88.98,5.385
92.12,5.066
95.37,4.747
98.74,4.429
102.23,4.110
105.84,3.792
109.58,3.473
113.45,3.155
117.46,2.836
121.60,2.518
125.90,2.199
130.35,1.881
134.95,1.562
139.72,1.244
144.65,0.925
149.76,0.607
155.05,0.288
160.53,0.000
166.20,0.000
172.07,0.000
178.15,0.000
184.44,0.000
190.95,0.000
197.70,0.000
204.68,0.000
211.91,0.000
219.40,0.000
227.15,0.000
235.17,0.000
243.48,0.000
252.08,0.000
260.98,0.000
270.20,0.000
279.74,0.000
289.62,0.000
299.85,0.000
310.45,0.000
321.41,0.000
332.76,0.000
344.52,0.000
356.69,0.000
369.28,0.000
382.33,0.000
395.83,0.000
409.81,0.000
424.29,0.000
439.28,0.000
454.79,0.000
470.86,0.000
487.49,0.000
504.71,0.000
522.54,0.000
540.99,0.000
560.10,0.000
579.88,0.000
600.37,0.000
621.57,0.000
643.53,0.000
666.26,0.000
689.79,0.000
714.16,0.000
739.38,0.000
765.50,0.000
792.54,0.000
820.53,0.000
849.51,0.000
879.52,0.000
910.59,0.000
942.75,0.000
976.05,0.000
1010.53,0.000
1046.22,0.000
1083.17,0.000
1121.43,0.000
1161.05,0.000
1202.06,0.000
1244.51,0.000
1288.47,0.000
1333.98,0.000
1381.10,0.000
1429.89,0.000
1480.39,0.000
1532.68,0.000
1586.82,0.000
1642.87,0.000
1700.90,0.000
1760.98,0.000
1823.18,0.000
1887.58,0.000
1954.25,0.000
2023.28,0.000
2094.74,0.000
2168.73,0.000
2245.34,0.000
2324.64,0.000
2406.76,0.000
2491.77,0.000
2579.78,0.000
2670.90,0.000
2765.24,0.000
2862.92,0.000
2964.04,0.000
3068.74,-0.072
3177.13,-0.181
3289.35,-0.291
3405.54,-0.401
3525.83,-0.511
3650.37,-0.621
3779.30,-0.730
3912.80,-0.840
4051.00,-0.950
4194.09,-1.060
4342.24,-1.169
4495.61,-1.279
4654.40,-1.389
4818.81,-1.499
4989.02,-1.609
5165.24,-1.718
5347.68,-1.828
5536.57,-1.938
5732.14,-2.048
5934.60,-2.158
6144.23,-2.267
6361.25,-2.377
6585.94,-2.487
6818.57,-2.597
7059.41,-2.706
7308.77,-2.816
7566.93,-2.926
7834.20,-3.036
8110.92,-3.146
8397.41,-3.255
8694.03,-3.365
9001.12,-3.475
9319.05,-3.585
9648.22,-3.695
9989.01,-3.804
10341.84,-3.914
10707.13,-4.024
11085.33,-4.134
11476.88,-4.243
11882.27,-4.353
12301.97,-4.463
12736.50,-4.573
13186.38,-4.683
13652.14,-4.792
14134.36,-4.902
14633.61,-5.012
15150.50,-5.122
15685.64,-5.232
16239.69,-5.341
16813.31,-5.451
17407.18,-5.561
18022.04,-5.671
18658.61,-5.780
19317.66,-5.890
20000.00,-6.000
