# HouseCurve 'Car C' - based on a Crutchfield curve. +6 dB shelf below 125 Hz, flat 200 Hz-12.5 kHz, steep roll-off above.
# Source: https://housecurve.com/curves/Car_C_web.txt (HouseCurve, https://housecurve.com/docs/tuning/target_curve)
# Values are piecewise-linear in log-frequency between the published points; level is arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.00,6.000
20.71,6.000
21.44,6.000
22.20,6.000
22.98,6.000
23.79,6.000
24.63,6.000
25.50,6.000
26.40,6.000
27.33,6.000
28.30,6.000
29.30,6.000
30.33,6.000
31.41,6.000
32.52,6.000
33.66,6.000
34.85,6.000
36.08,6.000
37.36,6.000
38.68,6.000
40.04,6.000
41.46,6.000
42.92,6.000
44.44,6.000
46.01,6.000
47.63,6.000
49.32,6.000
51.06,6.000
52.86,6.000
54.73,6.000
56.66,6.000
58.66,6.000
60.74,6.000
62.88,6.000
65.10,6.000
67.40,6.000
69.78,6.000
72.25,6.000
74.80,6.000
77.44,6.000
80.18,6.000
83.01,6.000
85.94,6.000
88.98,6.000
92.12,6.000
95.37,6.000
98.74,6.000
102.23,6.000
105.84,6.000
109.58,6.000
113.45,6.000
117.46,6.000
121.60,6.000
125.90,5.908
130.35,5.465
134.95,5.022
139.72,4.579
144.65,4.136
149.76,3.693
155.05,3.250
160.53,2.807
166.20,2.363
172.07,1.920
178.15,1.477
184.44,1.034
190.95,0.591
197.70,0.148
204.68,0.000
211.91,0.000
219.40,0.000
227.15,0.000
235.17,0.000
243.48,0.000
252.08,0.000
260.98,0.000
270.20,0.000
279.74,0.000
289.62,0.000
299.85,0.000
310.45,0.000
321.41,0.000
332.76,0.000
344.52,0.000
356.69,0.000
369.28,0.000
382.33,0.000
395.83,0.000
409.81,0.000
424.29,0.000
439.28,0.000
454.79,0.000
470.86,0.000
487.49,0.000
504.71,0.000
522.54,0.000
540.99,0.000
560.10,0.000
579.88,0.000
600.37,0.000
621.57,0.000
643.53,0.000
666.26,0.000
689.79,0.000
714.16,0.000
739.38,0.000
765.50,0.000
792.54,0.000
820.53,0.000
849.51,0.000
879.52,0.000
910.59,0.000
942.75,0.000
976.05,0.000
1010.53,0.000
1046.22,0.000
1083.17,0.000
1121.43,0.000
1161.05,0.000
1202.06,0.000
1244.51,0.000
1288.47,0.000
1333.98,0.000
1381.10,0.000
1429.89,0.000
1480.39,0.000
1532.68,0.000
1586.82,0.000
1642.87,0.000
1700.90,0.000
1760.98,0.000
1823.18,0.000
1887.58,0.000
1954.25,0.000
2023.28,0.000
2094.74,0.000
2168.73,0.000
2245.34,0.000
2324.64,0.000
2406.76,0.000
2491.77,0.000
2579.78,0.000
2670.90,0.000
2765.24,0.000
2862.92,0.000
2964.04,0.000
3068.74,0.000
3177.13,0.000
3289.35,0.000
3405.54,0.000
3525.83,0.000
3650.37,0.000
3779.30,0.000
3912.80,0.000
4051.00,0.000
4194.09,0.000
4342.24,0.000
4495.61,0.000
4654.40,0.000
4818.81,0.000
4989.02,0.000
5165.24,0.000
5347.68,0.000
5536.57,0.000
5732.14,0.000
5934.60,0.000
6144.23,0.000
6361.25,0.000
6585.94,0.000
6818.57,0.000
7059.41,0.000
7308.77,0.000
7566.93,0.000
7834.20,0.000
8110.92,0.000
8397.41,0.000
8694.03,0.000
9001.12,0.000
9319.05,0.000
9648.22,0.000
9989.01,0.000
10341.84,0.000
10707.13,0.000
11085.33,0.000
11476.88,0.000
11882.27,0.000
12301.97,0.000
12736.50,-0.228
13186.38,-0.650
13652.14,-1.071
14134.36,-1.493
14633.61,-1.915
15150.50,-2.337
15685.64,-2.759
16239.69,-3.400
16813.31,-4.333
17407.18,-5.267
18022.04,-6.200
18658.61,-7.133
19317.66,-8.067
20000.00,-9.000
