# HouseCurve 'Harman' home-listening curve inspired by Toole: straight line +2 dB at 20 Hz to -8 dB at 20 kHz (approx -1 dB/octave).
# Source: https://housecurve.com/curves/Harman.txt (HouseCurve, https://housecurve.com/docs/tuning/target_curve)
# Values are piecewise-linear in log-frequency between the published points; level is arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.00,2.000
20.71,1.950
21.44,1.899
22.20,1.849
22.98,1.799
23.79,1.749
24.63,1.698
25.50,1.648
26.40,1.598
27.33,1.548
28.30,1.497
29.30,1.447
30.33,1.397
31.41,1.347
32.52,1.296
33.66,1.246
34.85,1.196
36.08,1.146
37.36,1.095
38.68,1.045
40.04,0.995
41.46,0.945
42.92,0.894
44.44,0.844
46.01,0.794
47.63,0.744
49.32,0.693
51.06,0.643
52.86,0.593
54.73,0.543
56.66,0.492
58.66,0.442
60.74,0.392
62.88,0.342
65.10,0.291
67.40,0.241
69.78,0.191
72.25,0.141
74.80,0.090
77.44,0.040
80.18,-0.010
83.01,-0.060
85.94,-0.111
88.98,-0.161
92.12,-0.211
95.37,-0.261
98.74,-0.312
102.23,-0.362
105.84,-0.412
109.58,-0.462
113.45,-0.513
117.46,-0.563
121.60,-0.613
125.90,-0.663
130.35,-0.714
134.95,-0.764
139.72,-0.814
144.65,-0.864
149.76,-0.915
155.05,-0.965
160.53,-1.015
166.20,-1.065
172.07,-1.116
178.15,-1.166
184.44,-1.216
190.95,-1.266
197.70,-1.317
204.68,-1.367
211.91,-1.417
219.40,-1.467
227.15,-1.518
235.17,-1.568
243.48,-1.618
252.08,-1.668
260.98,-1.719
270.20,-1.769
279.74,-1.819
289.62,-1.869
299.85,-1.920
310.45,-1.970
321.41,-2.020
332.76,-2.070
344.52,-2.121
356.69,-2.171
369.28,-2.221
382.33,-2.271
395.83,-2.322
409.81,-2.372
424.29,-2.422
439.28,-2.472
454.79,-2.523
470.86,-2.573
487.49,-2.623
504.71,-2.673
522.54,-2.724
540.99,-2.774
560.10,-2.824
579.88,-2.874
600.37,-2.925
621.57,-2.975
643.53,-3.025
666.26,-3.075
689.79,-3.126
714.16,-3.176
739.38,-3.226
765.50,-3.276
792.54,-3.327
820.53,-3.377
849.51,-3.427
879.52,-3.477
910.59,-3.528
942.75,-3.578
976.05,-3.628
1010.53,-3.678
1046.22,-3.729
1083.17,-3.779
1121.43,-3.829
1161.05,-3.879
1202.06,-3.930
1244.51,-3.980
1288.47,-4.030
1333.98,-4.080
1381.10,-4.131
1429.89,-4.181
1480.39,-4.231
1532.68,-4.281
1586.82,-4.332
1642.87,-4.382
1700.90,-4.432
1760.98,-4.482
1823.18,-4.533
1887.58,-4.583
1954.25,-4.633
2023.28,-4.683
2094.74,-4.734
2168.73,-4.784
2245.34,-4.834
2324.64,-4.884
2406.76,-4.935
2491.77,-4.985
2579.78,-5.035
2670.90,-5.085
2765.24,-5.136
2862.92,-5.186
2964.04,-5.236
3068.74,-5.286
3177.13,-5.337
3289.35,-5.387
3405.54,-5.437
3525.83,-5.487
3650.37,-5.538
3779.30,-5.588
3912.80,-5.638
4051.00,-5.688
4194.09,-5.739
4342.24,-5.789
4495.61,-5.839
4654.40,-5.889
4818.81,-5.940
4989.02,-5.990
5165.24,-6.040
5347.68,-6.090
5536.57,-6.141
5732.14,-6.191
5934.60,-6.241
6144.23,-6.291
6361.25,-6.342
6585.94,-6.392
6818.57,-6.442
7059.41,-6.492
7308.77,-6.543
7566.93,-6.593
7834.20,-6.643
8110.92,-6.693
8397.41,-6.744
8694.03,-6.794
9001.12,-6.844
9319.05,-6.894
9648.22,-6.945
9989.01,-6.995
10341.84,-7.045
10707.13,-7.095
11085.33,-7.146
11476.88,-7.196
11882.27,-7.246
12301.97,-7.296
12736.50,-7.347
13186.38,-7.397
13652.14,-7.447
14134.36,-7.497
14633.61,-7.548
15150.50,-7.598
15685.64,-7.648
16239.69,-7.698
16813.31,-7.749
17407.18,-7.799
18022.04,-7.849
18658.61,-7.899
19317.66,-7.950
20000.00,-8.000
