# The owner's by-ear preference, 2026-09-18: bass low shelf +4.0 dB (corner ~160 Hz), flat mids, -3.25 dB/oct above 4200 Hz.
# Derived from his in-car listening (method of adjustment on the head unit), measured through the calibrated iMM-6: see docs/targets.md.
frequency,raw
20.000,3.514
20.291,3.512
20.585,3.510
20.884,3.508
21.188,3.506
21.495,3.504
21.808,3.502
22.124,3.500
22.446,3.498
22.772,3.496
23.103,3.493
23.438,3.491
23.779,3.489
24.124,3.486
24.474,3.484
24.830,3.481
25.191,3.478
25.557,3.476
25.928,3.473
26.304,3.470
26.686,3.467
27.074,3.464
27.467,3.461
27.866,3.457
28.271,3.454
28.682,3.451
29.098,3.447
29.521,3.443
29.950,3.440
30.385,3.436
30.826,3.432
31.274,3.428
31.728,3.424
32.189,3.419
32.657,3.415
33.131,3.411
33.612,3.406
34.101,3.401
34.596,3.396
35.099,3.391
35.608,3.386
36.126,3.381
36.650,3.376
37.183,3.370
37.723,3.364
38.271,3.359
38.827,3.353
39.391,3.347
39.963,3.340
40.543,3.334
41.132,3.327
41.730,3.320
42.336,3.313
42.951,3.306
43.575,3.299
44.208,3.291
44.850,3.284
45.501,3.276
46.162,3.268
46.833,3.259
47.513,3.251
48.203,3.242
48.903,3.233
49.614,3.224
50.334,3.215
51.066,3.205
51.807,3.196
52.560,3.185
53.323,3.175
54.098,3.165
54.884,3.154
55.681,3.143
56.490,3.132
57.310,3.120
58.143,3.108
58.987,3.096
59.844,3.084
60.713,3.072
61.595,3.059
62.490,3.046
63.398,3.032
64.319,3.019
65.253,3.005
66.201,2.990
67.162,2.976
68.138,2.961
69.128,2.946
70.132,2.930
71.151,2.915
72.184,2.899
73.233,2.882
74.296,2.866
75.376,2.849
76.470,2.831
77.581,2.814
78.708,2.796
79.851,2.777
81.011,2.759
82.188,2.740
83.382,2.721
84.593,2.701
85.822,2.681
87.068,2.661
88.333,2.641
89.616,2.620
90.918,2.599
92.239,2.577
93.579,2.556
94.938,2.533
96.317,2.511
97.716,2.488
99.135,2.465
100.575,2.442
102.036,2.419
103.518,2.395
105.022,2.371
106.548,2.346
108.095,2.322
109.665,2.297
111.258,2.271
112.874,2.246
114.514,2.220
116.177,2.194
117.865,2.168
119.577,2.142
121.314,2.115
123.076,2.088
124.864,2.061
126.678,2.034
128.518,2.006
130.385,1.979
132.279,1.951
134.200,1.923
136.149,1.895
138.127,1.867
140.133,1.839
142.169,1.810
144.234,1.782
146.329,1.753
148.455,1.725
150.611,1.696
152.799,1.667
155.018,1.638
157.270,1.610
159.554,1.581
161.872,1.552
164.223,1.523
166.609,1.494
169.029,1.465
171.484,1.437
173.975,1.408
176.502,1.379
179.066,1.351
181.667,1.322
184.306,1.294
186.983,1.266
189.699,1.238
192.455,1.210
195.250,1.182
198.086,1.154
200.964,1.127
203.883,1.100
206.844,1.073
209.849,1.046
212.897,1.019
215.990,0.992
219.127,0.966
222.310,0.940
225.539,0.914
228.815,0.889
232.139,0.863
235.511,0.838
238.932,0.813
242.403,0.789
245.924,0.765
249.496,0.741
253.120,0.717
256.797,0.694
260.527,0.671
264.311,0.648
268.151,0.625
272.046,0.603
275.997,0.581
280.006,0.560
284.074,0.538
288.200,0.517
292.386,0.497
296.633,0.477
300.942,0.457
305.314,0.437
309.748,0.418
314.248,0.399
318.812,0.380
323.443,0.361
328.142,0.343
332.908,0.326
337.744,0.308
342.650,0.291
347.627,0.274
352.677,0.258
357.799,0.242
362.997,0.226
368.269,0.210
373.619,0.195
379.046,0.180
384.552,0.165
390.138,0.151
395.805,0.137
401.554,0.123
407.387,0.110
413.304,0.096
419.308,0.083
425.399,0.071
431.578,0.058
437.847,0.046
444.207,0.034
450.659,0.023
457.205,0.012
463.847,0.000
470.584,-0.010
477.420,-0.021
484.355,-0.031
491.390,-0.041
498.528,-0.051
505.770,-0.061
513.116,-0.070
520.570,-0.080
528.131,-0.089
535.803,-0.097
543.586,-0.106
551.482,-0.114
559.492,-0.123
567.619,-0.130
575.864,-0.138
584.229,-0.146
592.715,-0.153
601.325,-0.160
610.060,-0.167
618.921,-0.174
627.912,-0.181
637.032,-0.188
646.286,-0.194
655.673,-0.200
665.198,-0.206
674.860,-0.212
684.663,-0.218
694.608,-0.223
704.698,-0.229
714.934,-0.234
725.319,-0.239
735.855,-0.244
746.543,-0.249
757.387,-0.254
768.389,-0.259
779.550,-0.263
790.874,-0.268
802.362,-0.272
814.017,-0.276
825.841,-0.280
837.837,-0.284
850.007,-0.288
862.354,-0.292
874.880,-0.295
887.588,-0.299
900.481,-0.302
913.561,-0.306
926.831,-0.309
940.294,-0.312
953.953,-0.315
967.810,-0.318
981.868,-0.321
996.130,-0.324
1010.599,-0.327
1025.279,-0.330
1040.172,-0.332
1055.281,-0.335
1070.610,-0.338
1086.161,-0.340
1101.938,-0.342
1117.945,-0.345
1134.184,-0.347
1150.659,-0.349
1167.373,-0.351
1184.330,-0.353
1201.533,-0.355
1218.986,-0.357
1236.693,-0.359
1254.656,-0.361
1272.881,-0.363
1291.371,-0.364
1310.129,-0.366
1329.159,-0.368
1348.466,-0.369
1368.053,-0.371
1387.925,-0.372
1408.086,-0.374
1428.539,-0.375
1449.290,-0.377
1470.342,-0.378
1491.700,-0.379
1513.367,-0.381
1535.350,-0.382
1557.652,-0.383
1580.278,-0.384
1603.233,-0.385
1626.521,-0.387
1650.147,-0.388
1674.117,-0.389
1698.434,-0.390
1723.105,-0.391
1748.135,-0.392
1773.528,-0.393
1799.289,-0.394
1825.425,-0.394
1851.941,-0.395
1878.841,-0.396
1906.133,-0.397
1933.821,-0.398
1961.911,-0.398
1990.409,-0.399
2019.321,-0.400
2048.653,-0.401
2078.411,-0.401
2108.601,-0.402
2139.230,-0.403
2170.304,-0.403
2201.829,-0.404
2233.812,-0.404
2266.260,-0.405
2299.179,-0.406
2332.576,-0.406
2366.458,-0.407
2400.833,-0.407
2435.707,-0.408
2471.087,-0.408
2506.981,-0.409
2543.397,-0.409
2580.341,-0.410
