# Preferred steady-state room curve, all 11 listeners (Olive, Welti & McMullin, AES 135th Conv. 2013, paper 8994), as plotted in Toole, 'The Measurement and Calibration of Sound Reproducing Systems', JAES 63(7/8), 2015, Fig. 14. Home listening room, not a car.
# Digitised BY EYE from the published plot against its gridlines (2026-09-18), ~+-1 dB; points: 30:7.2 50:7.5 70:6.3 100:5.4 150:4 200:1.8 500:1.7 1000:1.5 1500:1.35 2000:0.6 5000:-0.2 8000:-1.3 12000:-0.7 20000:-3.1
# Log-frequency interpolation, held flat beyond the end points. Level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,7.200
20.291,7.200
20.585,7.200
20.884,7.200
21.188,7.200
21.495,7.200
21.808,7.200
22.124,7.200
22.446,7.200
22.772,7.200
23.103,7.200
23.438,7.200
23.779,7.200
24.124,7.200
24.474,7.200
24.830,7.200
25.191,7.200
25.557,7.200
25.928,7.200
26.304,7.200
26.686,7.200
27.074,7.200
27.467,7.200
27.866,7.200
28.271,7.200
28.682,7.200
29.098,7.200
29.521,7.200
29.950,7.200
30.385,7.207
30.826,7.216
31.274,7.224
31.728,7.233
32.189,7.241
32.657,7.250
33.131,7.258
33.612,7.267
34.101,7.275
34.596,7.284
35.099,7.292
35.608,7.301
36.126,7.309
36.650,7.318
37.183,7.326
37.723,7.335
38.271,7.343
38.827,7.351
39.391,7.360
39.963,7.368
40.543,7.377
41.132,7.385
41.730,7.394
42.336,7.402
42.951,7.411
43.575,7.419
44.208,7.428
44.850,7.436
45.501,7.445
46.162,7.453
46.833,7.462
47.513,7.470
48.203,7.479
48.903,7.487
49.614,7.495
50.334,7.476
51.066,7.425
51.807,7.373
52.560,7.322
53.323,7.270
54.098,7.219
54.884,7.168
55.681,7.116
56.490,7.065
57.310,7.013
58.143,6.962
58.987,6.910
59.844,6.859
60.713,6.808
61.595,6.756
62.490,6.705
63.398,6.653
64.319,6.602
65.253,6.550
66.201,6.499
67.162,6.448
68.138,6.396
69.128,6.345
70.132,6.295
71.151,6.259
72.184,6.222
73.233,6.186
74.296,6.150
75.376,6.113
76.470,6.077
77.581,6.041
78.708,6.004
79.851,5.968
81.011,5.931
82.188,5.895
83.382,5.859
84.593,5.822
85.822,5.786
87.068,5.749
88.333,5.713
89.616,5.677
90.918,5.640
92.239,5.604
93.579,5.567
94.938,5.531
96.317,5.495
97.716,5.458
99.135,5.422
100.575,5.380
102.036,5.330
103.518,5.281
105.022,5.231
106.548,5.181
108.095,5.131
109.665,5.081
111.258,5.032
112.874,4.982
114.514,4.932
116.177,4.882
117.865,4.832
119.577,4.783
121.314,4.733
