# Preferred steady-state room curve, 7 trained listeners (Olive, Welti & McMullin, AES 135th Conv. 2013, paper 8994), as plotted in Toole, 'The Measurement and Calibration of Sound Reproducing Systems', JAES 63(7/8), 2015, Fig. 14. Home listening room, not a car.
# Digitised BY EYE from the published plot against its gridlines (2026-09-18), ~+-1 dB; points: 30:4.9 50:5.1 100:4 150:3.1 200:2.4 500:1.8 1000:1.2 2000:-0.6 3000:-1.2 5000:-2.1 8000:-3.7 12000:-3.1 20000:-6.5
# Log-frequency interpolation, held flat beyond the end points. Level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,4.900
20.291,4.900
20.585,4.900
20.884,4.900
21.188,4.900
21.495,4.900
21.808,4.900
22.124,4.900
22.446,4.900
22.772,4.900
23.103,4.900
23.438,4.900
23.779,4.900
24.124,4.900
24.474,4.900
24.830,4.900
25.191,4.900
25.557,4.900
25.928,4.900
26.304,4.900
26.686,4.900
27.074,4.900
27.467,4.900
27.866,4.900
28.271,4.900
28.682,4.900
29.098,4.900
29.521,4.900
29.950,4.900
30.385,4.905
30.826,4.911
31.274,4.916
31.728,4.922
32.189,4.928
32.657,4.933
33.131,4.939
33.612,4.945
34.101,4.950
34.596,4.956
35.099,4.961
35.608,4.967
36.126,4.973
36.650,4.978
37.183,4.984
37.723,4.990
38.271,4.995
38.827,5.001
39.391,5.007
39.963,5.012
40.543,5.018
41.132,5.024
41.730,5.029
42.336,5.035
42.951,5.041
43.575,5.046
44.208,5.052
44.850,5.057
45.501,5.063
46.162,5.069
46.833,5.074
47.513,5.080
48.203,5.086
48.903,5.091
49.614,5.097
50.334,5.089
51.066,5.067
51.807,5.044
52.560,5.021
53.323,4.998
54.098,4.975
54.884,4.952
55.681,4.929
56.490,4.906
57.310,4.883
58.143,4.861
58.987,4.838
59.844,4.815
60.713,4.792
61.595,4.769
62.490,4.746
63.398,4.723
64.319,4.700
65.253,4.677
66.201,4.655
67.162,4.632
68.138,4.609
69.128,4.586
70.132,4.563
71.151,4.540
72.184,4.517
73.233,4.494
74.296,4.472
75.376,4.449
76.470,4.426
77.581,4.403
78.708,4.380
79.851,4.357
81.011,4.334
82.188,4.311
83.382,4.288
84.593,4.266
85.822,4.243
87.068,4.220
88.333,4.197
89.616,4.174
