# Preferred steady-state room curve, 4 untrained listeners (Olive, Welti & McMullin, AES 135th Conv. 2013, paper 8994), as plotted in Toole, 'The Measurement and Calibration of Sound Reproducing Systems', JAES 63(7/8), 2015, Fig. 14. Home listening room, not a car.
# Digitised BY EYE from the published plot against its gridlines (2026-09-18), ~+-1 dB; points: 30:12.1 50:12.5 70:10.8 100:8.7 150:7.2 200:2.2 500:2.2 1000:3.1 2000:3 5000:3.4 8000:3 12000:4.7 20000:2.5
# Log-frequency interpolation, held flat beyond the end points. Level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,12.100
20.291,12.100
20.585,12.100
20.884,12.100
21.188,12.100
21.495,12.100
21.808,12.100
22.124,12.100
22.446,12.100
22.772,12.100
23.103,12.100
23.438,12.100
23.779,12.100
24.124,12.100
24.474,12.100
24.830,12.100
25.191,12.100
25.557,12.100
25.928,12.100
26.304,12.100
26.686,12.100
27.074,12.100
27.467,12.100
27.866,12.100
28.271,12.100
28.682,12.100
29.098,12.100
29.521,12.100
29.950,12.100
30.385,12.110
30.826,12.121
31.274,12.133
31.728,12.144
32.189,12.155
32.657,12.166
33.131,12.178
33.612,12.189
34.101,12.200
34.596,12.212
35.099,12.223
35.608,12.234
36.126,12.245
36.650,12.257
37.183,12.268
37.723,12.279
38.271,12.291
38.827,12.302
39.391,12.313
39.963,12.325
40.543,12.336
41.132,12.347
41.730,12.358
42.336,12.370
42.951,12.381
43.575,12.392
44.208,12.404
44.850,12.415
45.501,12.426
46.162,12.437
46.833,12.449
47.513,12.460
48.203,12.471
48.903,12.483
49.614,12.494
50.334,12.466
51.066,12.393
51.807,12.321
52.560,12.248
53.323,12.175
54.098,12.102
54.884,12.029
55.681,11.956
56.490,11.883
57.310,11.811
58.143,11.738
58.987,11.665
59.844,11.592
60.713,11.519
61.595,11.446
62.490,11.373
63.398,11.301
64.319,11.228
65.253,11.155
66.201,11.082
67.162,11.009
68.138,10.936
69.128,10.863
70.132,10.789
71.151,10.704
72.184,10.619
73.233,10.534
74.296,10.449
75.376,10.364
76.470,10.279
77.581,10.195
78.708,10.110
79.851,10.025
81.011,9.940
82.188,9.855
83.382,9.770
84.593,9.685
85.822,9.600
87.068,9.515
88.333,9.430
89.616,9.345
90.918,9.261
92.239,9.176
93.579,9.091
94.938,9.006
96.317,8.921
97.716,8.836
99.135,8.751
100.575,8.679
102.036,8.625
103.518,8.572
105.022,8.519
106.548,8.465
108.095,8.412
109.665,8.359
111.258,8.305
112.874,8.252
114.514,8.199
116.177,8.145
117.865,8.092
119.577,8.039
121.314,7.985
123.076,7.932
124.864,7.879
126.678,7.825
128.518,7.772
130.385,7.718
132.279,7.665
134.200,7.612
136.149,7.558
138.127,7.505
140.133,7.452
142.169,7.398
144.234,7.345
146.329,7.292
148.455,7.238
150.611,7.129
152.799,6.879
155.018,6.628
157.270,6.377
159.554,6.127
161.872,5.876
164.223,5.625
166.609,5.375
169.029,5.124
171.484,4.874
173.975,4.623
176.502,4.372
179.066,4.122
181.667,3.871
184.306,3.620
186.983,3.370
189.699,3.119
192.455,2.868
195.250,2.618
198.086,2.367
200.964,2.200
203.883,2.200
206.844,2.200
209.849,2.200
212.897,2.200
215.990,2.200
219.127,2.200
222.310,2.200
225.539,2.200
228.815,2.200
232.139,2.200
235.511,2.200
238.932,2.200
242.403,2.200
245.924,2.200
249.496,2.200
253.120,2.200
256.797,2.200
260.527,2.200
264.311,2.200
268.151,2.200
272.046,2.200
275.997,2.200
280.006,2.200
284.074,2.200
288.200,2.200
292.386,2.200
296.633,2.200
300.942,2.200
305.314,2.200
309.748,2.200
314.248,2.200
318.812,2.200
323.443,2.200
328.142,2.200
332.908,2.200
337.744,2.200
342.650,2.200
347.627,2.200
352.677,2.200
357.799,2.200
362.997,2.200
368.269,2.200
373.619,2.200
379.046,2.200
384.552,2.200
390.138,2.200
395.805,2.200
401.554,2.200
407.387,2.200
413.304,2.200
419.308,2.200
425.399,2.200
431.578,2.200
437.847,2.200
444.207,2.200
450.659,2.200
457.205,2.200
463.847,2.200
470.584,2.200
477.420,2.200
484.355,2.200
491.390,2.200
498.528,2.200
505.770,2.215
513.116,2.234
520.570,2.252
528.131,2.271
535.803,2.290
543.586,2.309
551.482,2.327
559.492,2.346
567.619,2.365
575.864,2.383
584.229,2.402
592.715,2.421
601.325,2.440
610.060,2.458
618.921,2.477
627.912,2.496
637.032,2.514
646.286,2.533
655.673,2.552
665.198,2.571
674.860,2.589
684.663,2.608
694.608,2.627
704.698,2.646
714.934,2.664
725.319,2.683
735.855,2.702
746.543,2.720
757.387,2.739
768.389,2.758
779.550,2.777
790.874,2.795
802.362,2.814
814.017,2.833
825.841,2.852
837.837,2.870
850.007,2.889
862.354,2.908
874.880,2.926
887.588,2.945
900.481,2.964
913.561,2.983
926.831,3.001
940.294,3.020
953.953,3.039
967.810,3.058
981.868,3.076
996.130,3.095
1010.599,3.098
1025.279,3.096
1040.172,3.094
1055.281,3.092
1070.610,3.090
1086.161,3.088
1101.938,3.086
1117.945,3.084
1134.184,3.082
1150.659,3.080
1167.373,3.078
1184.330,3.076
1201.533,3.074
1218.986,3.071
1236.693,3.069
1254.656,3.067
1272.881,3.065
1291.371,3.063
1310.129,3.061
1329.159,3.059
1348.466,3.057
1368.053,3.055
1387.925,3.053
1408.086,3.051
1428.539,3.049
1449.290,3.046
1470.342,3.044
1491.700,3.042
1513.367,3.040
1535.350,3.038
1557.652,3.036
1580.278,3.034
1603.233,3.032
1626.521,3.030
1650.147,3.028
1674.117,3.026
1698.434,3.024
1723.105,3.021
1748.135,3.019
1773.528,3.017
1799.289,3.015
1825.425,3.013
1851.941,3.011
1878.841,3.009
1906.133,3.007
1933.821,3.005
1961.911,3.003
1990.409,3.001
2019.321,3.004
2048.653,3.010
2078.411,3.017
2108.601,3.023
2139.230,3.029
2170.304,3.036
2201.829,3.042
2233.812,3.048
2266.260,3.055
2299.179,3.061
2332.576,3.067
2366.458,3.073
2400.833,3.080
2435.707,3.086
2471.087,3.092
2506.981,3.099
2543.397,3.105
2580.341,3.111
2617.823,3.118
2655.848,3.124
2694.426,3.130
2733.565,3.136
2773.272,3.143
2813.555,3.149
2854.424,3.155
2895.887,3.162
2937.951,3.168
2980.627,3.174
3023.923,3.180
3067.847,3.187
3112.410,3.193
3157.620,3.199
3203.486,3.206
3250.019,3.212
3297.228,3.218
3345.123,3.225
3393.713,3.231
3443.009,3.237
3493.021,3.243
3543.759,3.250
3595.235,3.256
3647.458,3.262
3700.440,3.269
3754.192,3.275
3808.724,3.281
3864.048,3.287
3920.176,3.294
3977.119,3.300
4034.890,3.306
4093.499,3.313
4152.960,3.319
4213.285,3.325
4274.486,3.332
4336.575,3.338
4399.567,3.344
4463.474,3.350
4528.309,3.357
4594.086,3.363
4660.818,3.369
4728.520,3.376
4797.205,3.382
4866.887,3.388
4937.582,3.395
5009.304,3.398
5082.068,3.386
5155.888,3.374
5230.781,3.362
5306.762,3.349
5383.846,3.337
5462.050,3.325
5541.390,3.313
5621.883,3.300
5703.544,3.288
5786.392,3.276
5870.444,3.263
5955.716,3.251
6042.227,3.239
6129.994,3.227
6219.037,3.214
6309.372,3.202
6401.020,3.190
6493.999,3.177
6588.329,3.165
6684.029,3.153
6781.119,3.141
6879.620,3.128
6979.551,3.116
7080.934,3.104
7183.789,3.092
7288.139,3.079
7394.004,3.067
7501.407,3.055
7610.370,3.042
7720.916,3.030
7833.068,3.018
7946.848,3.006
8062.282,3.033
8179.392,3.093
8298.203,3.153
8418.740,3.214
8541.028,3.274
8665.093,3.335
8790.959,3.395
8918.654,3.456
9048.203,3.516
9179.635,3.577
9312.975,3.637
9448.253,3.698
9585.495,3.758
9724.731,3.819
9865.989,3.879
10009.300,3.939
10154.692,4.000
10302.195,4.060
10451.842,4.121
10603.662,4.181
10757.688,4.242
10913.950,4.302
11072.483,4.363
11233.319,4.423
11396.490,4.484
11562.032,4.544
11729.979,4.605
11900.365,4.665
12073.226,4.674
12248.597,4.612
12426.517,4.550
12607.021,4.487
12790.146,4.425
12975.932,4.363
13164.416,4.301
13355.638,4.239
13549.638,4.177
13746.456,4.115
13946.133,4.053
14148.710,3.991
14354.230,3.928
14562.735,3.866
14774.268,3.804
14988.875,3.742
15206.599,3.680
15427.485,3.618
15651.580,3.556
15878.930,3.494
16109.582,3.432
16343.585,3.370
16580.987,3.307
16821.837,3.245
17066.186,3.183
17314.084,3.121
17565.583,3.059
17820.735,2.997
18079.593,2.935
18342.212,2.873
18608.645,2.811
18878.949,2.748
19153.178,2.686
19431.391,2.624
19713.646,2.562
20000.000,2.500
