# Harman in-car target (Olive & Welti), as plotted in Toole, 'The Measurement and Calibration of Sound Reproducing Systems', JAES 63(7/8), 2015, Fig. 15. Experimentally determined in a car.
# Digitised BY EYE from the published plot against its gridlines (2026-09-18), ~+-1 dB; points: 20:8.5 40:8.3 50:7.7 70:6.3 100:3.9 150:1.4 200:0.3 300:-0.1 500:-0.2 1000:-0.4 2000:-0.8 5000:-1.6 10000:-2.6 20000:-5.1
# Log-frequency interpolation, held flat beyond the end points. Level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,8.500
20.291,8.496
20.585,8.492
20.884,8.488
21.188,8.483
21.495,8.479
21.808,8.475
22.124,8.471
22.446,8.467
22.772,8.463
23.103,8.458
23.438,8.454
23.779,8.450
24.124,8.446
24.474,8.442
24.830,8.438
25.191,8.433
25.557,8.429
25.928,8.425
26.304,8.421
26.686,8.417
27.074,8.413
27.467,8.408
27.866,8.404
28.271,8.400
28.682,8.396
29.098,8.392
29.521,8.388
29.950,8.383
30.385,8.379
30.826,8.375
31.274,8.371
31.728,8.367
32.189,8.363
32.657,8.359
33.131,8.354
33.612,8.350
34.101,8.346
34.596,8.342
35.099,8.338
35.608,8.334
36.126,8.329
36.650,8.325
37.183,8.321
37.723,8.317
38.271,8.313
38.827,8.309
39.391,8.304
39.963,8.300
40.543,8.264
41.132,8.225
41.730,8.186
42.336,8.147
42.951,8.109
43.575,8.070
44.208,8.031
44.850,7.992
45.501,7.954
46.162,7.915
46.833,7.876
47.513,7.837
48.203,7.798
48.903,7.760
49.614,7.721
50.334,7.672
51.066,7.612
51.807,7.552
52.560,7.492
53.323,7.432
54.098,7.372
54.884,7.312
55.681,7.252
56.490,7.192
57.310,7.132
58.143,7.072
58.987,7.012
59.844,6.952
60.713,6.892
61.595,6.832
62.490,6.772
63.398,6.712
64.319,6.652
65.253,6.592
66.201,6.532
67.162,6.472
68.138,6.412
69.128,6.352
70.132,6.287
71.151,6.190
72.184,6.093
73.233,5.996
74.296,5.899
75.376,5.802
76.470,5.705
77.581,5.608
78.708,5.511
79.851,5.414
81.011,5.317
82.188,5.220
83.382,5.123
84.593,5.026
85.822,4.929
87.068,4.832
88.333,4.735
89.616,4.638
90.918,4.541
92.239,4.444
93.579,4.347
94.938,4.250
96.317,4.153
97.716,4.055
99.135,3.958
100.575,3.865
102.036,3.776
103.518,3.687
105.022,3.598
106.548,3.509
108.095,3.420
109.665,3.331
111.258,3.242
112.874,3.153
114.514,3.064
116.177,2.975
117.865,2.887
119.577,2.798
121.314,2.709
123.076,2.620
124.864,2.531
126.678,2.442
128.518,2.353
130.385,2.264
132.279,2.175
134.200,2.086
136.149,1.997
138.127,1.908
140.133,1.820
142.169,1.731
144.234,1.642
146.329,1.553
148.455,1.464
150.611,1.384
152.799,1.329
155.018,1.274
157.270,1.219
159.554,1.164
161.872,1.109
164.223,1.054
166.609,0.998
169.029,0.943
171.484,0.888
173.975,0.833
176.502,0.778
179.066,0.723
181.667,0.668
184.306,0.612
186.983,0.557
189.699,0.502
192.455,0.447
195.250,0.392
198.086,0.337
200.964,0.295
203.883,0.281
206.844,0.267
209.849,0.253
212.897,0.238
215.990,0.224
219.127,0.210
222.310,0.196
225.539,0.181
228.815,0.167
232.139,0.153
235.511,0.139
238.932,0.125
242.403,0.110
245.924,0.096
249.496,0.082
253.120,0.068
256.797,0.053
260.527,0.039
264.311,0.025
268.151,0.011
272.046,-0.004
275.997,-0.018
280.006,-0.032
284.074,-0.046
288.200,-0.060
292.386,-0.075
296.633,-0.089
300.942,-0.101
305.314,-0.103
309.748,-0.106
314.248,-0.109
318.812,-0.112
323.443,-0.115
328.142,-0.118
332.908,-0.120
337.744,-0.123
342.650,-0.126
347.627,-0.129
352.677,-0.132
357.799,-0.134
362.997,-0.137
368.269,-0.140
373.619,-0.143
379.046,-0.146
384.552,-0.149
390.138,-0.151
395.805,-0.154
401.554,-0.157
407.387,-0.160
413.304,-0.163
419.308,-0.166
425.399,-0.168
431.578,-0.171
437.847,-0.174
444.207,-0.177
450.659,-0.180
457.205,-0.182
463.847,-0.185
470.584,-0.188
477.420,-0.191
484.355,-0.194
491.390,-0.197
498.528,-0.199
505.770,-0.203
513.116,-0.207
520.570,-0.212
528.131,-0.216
535.803,-0.220
543.586,-0.224
551.482,-0.228
559.492,-0.232
567.619,-0.237
575.864,-0.241
584.229,-0.245
592.715,-0.249
601.325,-0.253
610.060,-0.257
618.921,-0.262
627.912,-0.266
637.032,-0.270
646.286,-0.274
655.673,-0.278
665.198,-0.282
674.860,-0.287
684.663,-0.291
694.608,-0.295
704.698,-0.299
714.934,-0.303
725.319,-0.307
735.855,-0.311
746.543,-0.316
757.387,-0.320
768.389,-0.324
779.550,-0.328
790.874,-0.332
802.362,-0.336
814.017,-0.341
825.841,-0.345
837.837,-0.349
850.007,-0.353
862.354,-0.357
874.880,-0.361
887.588,-0.366
900.481,-0.370
913.561,-0.374
926.831,-0.378
940.294,-0.382
953.953,-0.386
967.810,-0.391
981.868,-0.395
996.130,-0.399
1010.599,-0.406
1025.279,-0.414
1040.172,-0.423
1055.281,-0.431
1070.610,-0.439
1086.161,-0.448
1101.938,-0.456
1117.945,-0.464
1134.184,-0.473
1150.659,-0.481
1167.373,-0.489
1184.330,-0.498
1201.533,-0.506
1218.986,-0.514
1236.693,-0.523
1254.656,-0.531
1272.881,-0.539
1291.371,-0.548
1310.129,-0.556
1329.159,-0.564
1348.466,-0.573
1368.053,-0.581
1387.925,-0.589
1408.086,-0.597
1428.539,-0.606
1449.290,-0.614
1470.342,-0.622
1491.700,-0.631
1513.367,-0.639
1535.350,-0.647
1557.652,-0.656
1580.278,-0.664
1603.233,-0.672
1626.521,-0.681
1650.147,-0.689
1674.117,-0.697
1698.434,-0.706
1723.105,-0.714
1748.135,-0.722
1773.528,-0.731
1799.289,-0.739
1825.425,-0.747
1851.941,-0.756
1878.841,-0.764
1906.133,-0.772
1933.821,-0.781
1961.911,-0.789
1990.409,-0.797
2019.321,-0.808
2048.653,-0.821
2078.411,-0.834
2108.601,-0.846
2139.230,-0.859
2170.304,-0.871
2201.829,-0.884
2233.812,-0.897
2266.260,-0.909
2299.179,-0.922
2332.576,-0.934
2366.458,-0.947
2400.833,-0.959
2435.707,-0.972
2471.087,-0.985
2506.981,-0.997
2543.397,-1.010
2580.341,-1.022
2617.823,-1.035
2655.848,-1.048
2694.426,-1.060
2733.565,-1.073
2773.272,-1.085
2813.555,-1.098
2854.424,-1.111
2895.887,-1.123
2937.951,-1.136
2980.627,-1.148
3023.923,-1.161
3067.847,-1.174
3112.410,-1.186
3157.620,-1.199
3203.486,-1.211
3250.019,-1.224
3297.228,-1.236
3345.123,-1.249
3393.713,-1.262
3443.009,-1.274
3493.021,-1.287
3543.759,-1.299
3595.235,-1.312
3647.458,-1.325
3700.440,-1.337
3754.192,-1.350
3808.724,-1.362
3864.048,-1.375
3920.176,-1.388
3977.119,-1.400
4034.890,-1.413
4093.499,-1.425
4152.960,-1.438
4213.285,-1.451
4274.486,-1.463
4336.575,-1.476
4399.567,-1.488
4463.474,-1.501
4528.309,-1.513
4594.086,-1.526
4660.818,-1.539
4728.520,-1.551
4797.205,-1.564
4866.887,-1.576
4937.582,-1.589
5009.304,-1.603
5082.068,-1.623
5155.888,-1.644
5230.781,-1.665
5306.762,-1.686
5383.846,-1.707
5462.050,-1.728
5541.390,-1.748
5621.883,-1.769
5703.544,-1.790
5786.392,-1.811
5870.444,-1.832
5955.716,-1.852
6042.227,-1.873
6129.994,-1.894
6219.037,-1.915
6309.372,-1.936
6401.020,-1.956
6493.999,-1.977
6588.329,-1.998
6684.029,-2.019
6781.119,-2.040
6879.620,-2.060
6979.551,-2.081
7080.934,-2.102
7183.789,-2.123
7288.139,-2.144
7394.004,-2.164
7501.407,-2.185
7610.370,-2.206
7720.916,-2.227
7833.068,-2.248
7946.848,-2.268
8062.282,-2.289
8179.392,-2.310
8298.203,-2.331
8418.740,-2.352
8541.028,-2.372
8665.093,-2.393
8790.959,-2.414
8918.654,-2.435
9048.203,-2.456
9179.635,-2.477
9312.975,-2.497
9448.253,-2.518
9585.495,-2.539
9724.731,-2.560
9865.989,-2.581
10009.300,-2.603
10154.692,-2.655
10302.195,-2.707
10451.842,-2.759
10603.662,-2.811
10757.688,-2.863
10913.950,-2.915
11072.483,-2.967
11233.319,-3.019
11396.490,-3.071
11562.032,-3.123
11729.979,-3.176
11900.365,-3.228
12073.226,-3.280
12248.597,-3.332
12426.517,-3.384
12607.021,-3.436
12790.146,-3.488
12975.932,-3.540
13164.416,-3.592
13355.638,-3.644
13549.638,-3.696
13746.456,-3.748
13946.133,-3.800
14148.710,-3.852
14354.230,-3.904
14562.735,-3.956
14774.268,-4.008
14988.875,-4.060
15206.599,-4.112
15427.485,-4.164
15651.580,-4.216
15878.930,-4.268
16109.582,-4.320
16343.585,-4.372
16580.987,-4.424
16821.837,-4.476
17066.186,-4.528
17314.084,-4.580
17565.583,-4.632
17820.735,-4.684
18079.593,-4.736
18342.212,-4.788
18608.645,-4.840
18878.949,-4.892
19153.178,-4.944
19431.391,-4.996
19713.646,-5.048
20000.000,-5.100
