# ResoNix 2026 (current, May 3 2026). Nick Apicella, ResoNix Sound Solutions, REW house curve for car audio.
# Source file: 'ResoNix Target Curve 2026.txt' in the public ResoNix REW Target Curves Google Drive folder (https://drive.google.com/drive/folders/1aFCUrV7J5n2cIS5qeGwKm0hT71T7H947), downloaded 2026-09-18.
# Intended use (their README): pink noise, REW RTA, spatial average around the head from the driver's seat - the same method as careq's moving-mic baseline.
# Resampled onto careq's grid; level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,13.364
20.291,13.353
20.585,13.343
20.884,13.332
21.188,13.321
21.495,13.308
21.808,13.295
22.124,13.281
22.446,13.268
22.772,13.252
23.103,13.236
23.438,13.220
23.779,13.202
24.124,13.184
24.474,13.165
24.830,13.147
25.191,13.127
25.557,13.105
25.928,13.084
26.304,13.062
26.686,13.039
27.074,13.014
27.467,12.989
27.866,12.964
28.271,12.937
28.682,12.908
29.098,12.880
29.521,12.851
29.950,12.822
30.385,12.790
30.826,12.758
31.274,12.725
31.728,12.691
32.189,12.655
32.657,12.619
33.131,12.583
33.612,12.546
34.101,12.505
34.596,12.464
35.099,12.423
35.608,12.381
36.126,12.336
36.650,12.292
37.183,12.247
37.723,12.200
38.271,12.150
38.827,12.100
39.391,12.051
39.963,12.001
40.543,11.946
41.132,11.891
41.730,11.836
42.336,11.781
42.951,11.722
43.575,11.662
44.208,11.601
44.850,11.541
45.501,11.476
46.162,11.411
46.833,11.345
47.513,11.279
48.203,11.208
48.903,11.137
49.614,11.066
50.334,10.993
51.066,10.916
51.807,10.839
52.560,10.762
53.323,10.683
54.098,10.600
54.884,10.516
55.681,10.433
56.490,10.345
57.310,10.254
58.143,10.163
58.987,10.072
59.844,9.980
60.713,9.883
61.595,9.784
62.490,9.685
63.398,9.583
64.319,9.477
65.253,9.371
66.201,9.265
67.162,9.158
68.138,9.047
69.128,8.935
70.132,8.824
71.151,8.712
72.184,8.597
73.233,8.482
74.296,8.367
75.376,8.251
76.470,8.134
77.581,8.017
78.708,7.899
79.851,7.782
81.011,7.664
82.188,7.545
83.382,7.427
84.593,7.308
85.822,7.190
87.068,7.071
88.333,6.952
89.616,6.833
90.918,6.714
92.239,6.595
93.579,6.476
94.938,6.356
96.317,6.237
97.716,6.117
99.135,5.998
100.575,5.878
102.036,5.759
103.518,5.639
105.022,5.519
106.548,5.399
108.095,5.279
109.665,5.159
111.258,5.038
112.874,4.918
114.514,4.796
116.177,4.675
117.865,4.554
119.577,4.432
121.314,4.309
123.076,4.187
124.864,4.065
126.678,3.943
128.518,3.820
130.385,3.698
132.279,3.575
134.200,3.454
136.149,3.333
138.127,3.211
140.133,3.090
142.169,2.975
144.234,2.860
146.329,2.745
148.455,2.630
150.611,2.517
152.799,2.412
155.018,2.306
157.270,2.201
159.554,2.095
161.872,2.000
164.223,1.906
166.609,1.813
169.029,1.719
171.484,1.633
173.975,1.551
176.502,1.469
179.066,1.387
181.667,1.313
184.306,1.242
186.983,1.171
189.699,1.100
192.455,1.038
195.250,0.977
198.086,0.916
200.964,0.858
203.883,0.806
206.844,0.755
209.849,0.703
212.897,0.655
215.990,0.612
219.127,0.570
222.310,0.527
225.539,0.488
228.815,0.454
232.139,0.419
235.511,0.384
238.932,0.355
242.403,0.327
245.924,0.300
249.496,0.272
253.120,0.250
256.797,0.228
260.527,0.207
264.311,0.186
268.151,0.169
272.046,0.153
275.997,0.137
280.006,0.121
284.074,0.110
288.200,0.099
292.386,0.088
296.633,0.077
300.942,0.066
305.314,0.059
309.748,0.052
314.248,0.044
318.812,0.039
323.443,0.034
328.142,0.030
332.908,0.025
337.744,0.021
342.650,0.018
347.627,0.015
352.677,0.012
357.799,0.010
362.997,0.009
368.269,0.007
373.619,0.005
379.046,0.004
384.552,0.003
390.138,0.003
395.805,0.002
401.554,0.001
407.387,0.000
413.304,-0.000
419.308,-0.001
425.399,-0.001
431.578,-0.002
437.847,-0.002
444.207,-0.003
450.659,-0.003
457.205,-0.004
463.847,-0.004
470.584,-0.005
477.420,-0.005
484.355,-0.006
491.390,-0.007
498.528,-0.008
505.770,-0.009
513.116,-0.010
520.570,-0.011
528.131,-0.012
535.803,-0.013
543.586,-0.015
551.482,-0.016
559.492,-0.018
567.619,-0.020
575.864,-0.022
584.229,-0.024
592.715,-0.025
601.325,-0.027
610.060,-0.030
618.921,-0.032
627.912,-0.034
637.032,-0.037
646.286,-0.040
655.673,-0.043
665.198,-0.046
674.860,-0.049
684.663,-0.052
694.608,-0.056
704.698,-0.059
714.934,-0.063
725.319,-0.067
735.855,-0.071
746.543,-0.076
757.387,-0.080
768.389,-0.085
779.550,-0.090
790.874,-0.095
802.362,-0.100
814.017,-0.106
825.841,-0.112
837.837,-0.118
850.007,-0.124
862.354,-0.131
874.880,-0.139
887.588,-0.146
900.481,-0.153
913.561,-0.162
926.831,-0.171
940.294,-0.180
953.953,-0.189
967.810,-0.200
981.868,-0.212
996.130,-0.223
1010.599,-0.237
1025.279,-0.252
1040.172,-0.267
1055.281,-0.282
1070.610,-0.301
1086.161,-0.322
1101.938,-0.343
1117.945,-0.364
1134.184,-0.392
1150.659,-0.420
1167.373,-0.448
1184.330,-0.478
1201.533,-0.515
1218.986,-0.552
1236.693,-0.590
1254.656,-0.629
1272.881,-0.675
1291.371,-0.720
1310.129,-0.766
1329.159,-0.817
1348.466,-0.873
1368.053,-0.930
1387.925,-0.986
1408.086,-1.049
1428.539,-1.122
1449.290,-1.196
1470.342,-1.269
1491.700,-1.342
1513.367,-1.431
1535.350,-1.531
1557.652,-1.631
1580.278,-1.731
1603.233,-1.835
1626.521,-1.967
1650.147,-2.099
1674.117,-2.231
1698.434,-2.363
1723.105,-2.521
1748.135,-2.680
1773.528,-2.840
1799.289,-3.000
1825.425,-3.178
1851.941,-3.357
1878.841,-3.535
1906.133,-3.716
1933.821,-3.905
1961.911,-4.094
1990.409,-4.283
2019.321,-4.473
2048.653,-4.662
2078.411,-4.852
2108.601,-5.042
2139.230,-5.225
2170.304,-5.404
2201.829,-5.583
2233.812,-5.762
2266.260,-5.920
2299.179,-6.073
2332.576,-6.227
2366.458,-6.371
2400.833,-6.479
2435.707,-6.587
2471.087,-6.695
2506.981,-6.791
2543.397,-6.835
2580.341,-6.880
2617.823,-6.924
2655.848,-6.960
2694.426,-6.945
2733.565,-6.931
2773.272,-6.917
2813.555,-6.888
2854.424,-6.830
2895.887,-6.772
2937.951,-6.715
2980.627,-6.657
3023.923,-6.587
3067.847,-6.506
3112.410,-6.426
3157.620,-6.344
3203.486,-6.254
3250.019,-6.164
3297.228,-6.074
3345.123,-5.984
3393.713,-5.890
3443.009,-5.796
3493.021,-5.701
3543.759,-5.607
3595.235,-5.511
3647.458,-5.415
3700.440,-5.319
3754.192,-5.223
3808.724,-5.126
3864.048,-5.029
3920.176,-4.932
3977.119,-4.835
4034.890,-4.739
4093.499,-4.642
4152.960,-4.545
4213.285,-4.448
4274.486,-4.352
4336.575,-4.256
4399.567,-4.160
4463.474,-4.064
4528.309,-3.969
4594.086,-3.874
4660.818,-3.779
4728.520,-3.684
4797.205,-3.591
4866.887,-3.499
4937.582,-3.406
5009.304,-3.315
5082.068,-3.228
5155.888,-3.141
5230.781,-3.053
5306.762,-2.967
5383.846,-2.889
5462.050,-2.811
5541.390,-2.733
5621.883,-2.659
5703.544,-2.598
5786.392,-2.537
5870.444,-2.476
5955.716,-2.414
6042.227,-2.364
6129.994,-2.326
6219.037,-2.287
6309.372,-2.251
6401.020,-2.236
6493.999,-2.221
6588.329,-2.206
6684.029,-2.191
6781.119,-2.194
6879.620,-2.200
6979.551,-2.207
7080.934,-2.214
7183.789,-2.232
7288.139,-2.253
7394.004,-2.273
7501.407,-2.294
7610.370,-2.324
7720.916,-2.353
7833.068,-2.382
7946.848,-2.411
8062.282,-2.443
8179.392,-2.477
8298.203,-2.510
8418.740,-2.544
8541.028,-2.578
8665.093,-2.612
8790.959,-2.647
8918.654,-2.681
9048.203,-2.715
9179.635,-2.749
9312.975,-2.782
9448.253,-2.815
9585.495,-2.847
9724.731,-2.877
9865.989,-2.908
10009.300,-2.938
10154.692,-2.963
10302.195,-2.988
10451.842,-3.013
10603.662,-3.038
10757.688,-3.057
10913.950,-3.075
11072.483,-3.093
11233.319,-3.109
11396.490,-3.121
11562.032,-3.133
11729.979,-3.145
11900.365,-3.154
12073.226,-3.161
12248.597,-3.167
12426.517,-3.174
12607.021,-3.179
12790.146,-3.182
12975.932,-3.186
13164.416,-3.189
13355.638,-3.191
13549.638,-3.193
13746.456,-3.195
13946.133,-3.197
14148.710,-3.197
14354.230,-3.198
14562.735,-3.199
14774.268,-3.199
14988.875,-3.200
15206.599,-3.200
15427.485,-3.200
15651.580,-3.201
15878.930,-3.201
16109.582,-3.201
16343.585,-3.201
16580.987,-3.201
16821.837,-3.201
17066.186,-3.201
17314.084,-3.201
17565.583,-3.201
17820.735,-3.201
18079.593,-3.201
18342.212,-3.201
18608.645,-3.201
18878.949,-3.201
19153.178,-3.201
19431.391,-3.201
19713.646,-3.201
20000.000,-3.201
