# ResoNix 'Accurate' (Aug 8 2023, superseded by 2026). Nick Apicella, ResoNix Sound Solutions, REW house curve for car audio.
# Source file: 'OLD - ResoNix Accurate REW House Curve 8.8.23.txt' in the public ResoNix REW Target Curves Google Drive folder (https://drive.google.com/drive/folders/1aFCUrV7J5n2cIS5qeGwKm0hT71T7H947), downloaded 2026-09-18.
# Intended use (their README): pink noise, REW RTA, spatial average around the head from the driver's seat - the same method as careq's moving-mic baseline.
# Resampled onto careq's grid; level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,13.249
20.291,13.229
20.585,13.210
20.884,13.191
21.188,13.174
21.495,13.156
21.808,13.138
22.124,13.121
22.446,13.104
22.772,13.088
23.103,13.071
23.438,13.056
23.779,13.041
24.124,13.025
24.474,13.009
24.830,12.994
25.191,12.978
25.557,12.962
25.928,12.945
26.304,12.928
26.686,12.911
27.074,12.893
27.467,12.874
27.866,12.854
28.271,12.833
28.682,12.812
29.098,12.789
29.521,12.766
29.950,12.741
30.385,12.715
30.826,12.687
31.274,12.659
31.728,12.629
32.189,12.597
32.657,12.564
33.131,12.530
33.612,12.494
34.101,12.457
34.596,12.417
35.099,12.376
35.608,12.335
36.126,12.291
36.650,12.246
37.183,12.199
37.723,12.151
38.271,12.101
38.827,12.049
39.391,11.996
39.963,11.942
40.543,11.885
41.132,11.827
41.730,11.768
42.336,11.707
42.951,11.645
43.575,11.580
44.208,11.514
44.850,11.446
45.501,11.377
46.162,11.306
46.833,11.234
47.513,11.159
48.203,11.082
48.903,11.005
49.614,10.924
50.334,10.843
51.066,10.760
51.807,10.674
52.560,10.588
53.323,10.499
54.098,10.409
54.884,10.318
55.681,10.224
56.490,10.130
57.310,10.033
58.143,9.935
58.987,9.836
59.844,9.735
60.713,9.634
61.595,9.530
62.490,9.426
63.398,9.320
64.319,9.213
65.253,9.105
66.201,8.996
67.162,8.886
68.138,8.776
69.128,8.664
70.132,8.551
71.151,8.437
72.184,8.323
73.233,8.208
74.296,8.092
75.376,7.976
76.470,7.859
77.581,7.741
78.708,7.623
79.851,7.505
81.011,7.386
82.188,7.267
83.382,7.147
84.593,7.026
85.822,6.906
87.068,6.785
88.333,6.664
89.616,6.543
90.918,6.421
