# ResoNix 'Laid Back' (Jun 9 2025). Nick Apicella, ResoNix Sound Solutions, REW house curve for car audio.
# Source file: 'OLD - ResoNix Laid Back REW House Curve Smoothed 6.9.25.txt' in the public ResoNix REW Target Curves Google Drive folder (https://drive.google.com/drive/folders/1aFCUrV7J5n2cIS5qeGwKm0hT71T7H947), downloaded 2026-09-18.
# Intended use (their README): pink noise, REW RTA, spatial average around the head from the driver's seat - the same method as careq's moving-mic baseline.
# Resampled onto careq's grid; level arbitrary (careq normalises 200 Hz-2 kHz).
frequency,raw
20.000,22.480
20.291,22.481
20.585,22.475
20.884,22.465
21.188,22.453
21.495,22.437
21.808,22.418
22.124,22.396
22.446,22.372
22.772,22.345
23.103,22.316
23.438,22.284
23.779,22.250
24.124,22.215
24.474,22.176
24.830,22.136
25.191,22.094
25.557,22.049
25.928,22.002
26.304,21.954
26.686,21.903
27.074,21.849
27.467,21.793
27.866,21.734
28.271,21.672
28.682,21.608
29.098,21.540
29.521,21.469
29.950,21.397
30.385,21.320
30.826,21.239
31.274,21.156
31.728,21.070
32.189,20.981
32.657,20.888
33.131,20.793
33.612,20.695
34.101,20.594
34.596,20.491
35.099,20.385
35.608,20.278
36.126,20.168
36.650,20.058
37.183,19.945
37.723,19.831
38.271,19.716
38.827,19.600
39.391,19.483
39.963,19.365
40.543,19.246
41.132,19.128
41.730,19.007
42.336,18.887
42.951,18.767
43.575,18.645
44.208,18.522
44.850,18.399
45.501,18.276
46.162,18.151
46.833,18.026
47.513,17.900
48.203,17.773
48.903,17.644
49.614,17.514
50.334,17.384
51.066,17.251
51.807,17.119
52.560,16.984
53.323,16.849
54.098,16.712
54.884,16.573
55.681,16.434
56.490,16.293
57.310,16.151
58.143,16.007
58.987,15.863
59.844,15.717
60.713,15.569
61.595,15.421
62.490,15.271
63.398,15.120
64.319,14.968
65.253,14.815
66.201,14.660
67.162,14.505
68.138,14.349
69.128,14.193
70.132,14.035
71.151,13.878
72.184,13.721
73.233,13.564
74.296,13.406
75.376,13.250
76.470,13.094
77.581,12.939
78.708,12.787
79.851,12.636
81.011,12.488
82.188,12.341
83.382,12.199
84.593,12.060
85.822,11.924
87.068,11.793
88.333,11.666
89.616,11.543
90.918,11.426
92.239,11.314
93.579,11.207
94.938,11.104
96.317,11.007
97.716,10.915
99.135,10.829
100.575,10.747
102.036,10.669
103.518,10.597
105.022,10.528
106.548,10.464
108.095,10.403
109.665,10.345
111.258,10.290
112.874,10.238
114.514,10.188
116.177,10.138
117.865,10.091
119.577,10.045
121.314,9.999
123.076,9.953
124.864,9.908
126.678,9.862
128.518,9.816
130.385,9.769
132.279,9.721
134.200,9.673
136.149,9.623
138.127,9.573
140.133,9.522
142.169,9.470
144.234,9.416
146.329,9.363
148.455,9.308
150.611,9.252
152.799,9.197
155.018,9.140
157.270,9.083
159.554,9.026
161.872,8.968
164.223,8.911
166.609,8.854
169.029,8.798
171.484,8.742
173.975,8.687
176.502,8.634
179.066,8.582
181.667,8.532
184.306,8.483
186.983,8.436
189.699,8.393
192.455,8.351
195.250,8.311
198.086,8.274
200.964,8.238
203.883,8.206
206.844,8.176
209.849,8.148
212.897,8.122
215.990,8.097
219.127,8.074
222.310,8.053
225.539,8.032
228.815,8.013
232.139,7.994
235.511,7.977
238.932,7.959
242.403,7.942
245.924,7.926
249.496,7.910
253.120,7.895
256.797,7.879
260.527,7.863
264.311,7.848
268.151,7.831
272.046,7.816
275.997,7.800
280.006,7.784
284.074,7.769
288.200,7.752
292.386,7.735
296.633,7.719
300.942,7.702
305.314,7.686
309.748,7.668
314.248,7.651
318.812,7.634
323.443,7.615
328.142,7.597
332.908,7.579
337.744,7.561
342.650,7.542
347.627,7.523
352.677,7.504
357.799,7.485
362.997,7.465
368.269,7.445
373.619,7.425
379.046,7.404
384.552,7.383
390.138,7.361
395.805,7.340
401.554,7.319
407.387,7.296
413.304,7.274
419.308,7.252
425.399,7.228
431.578,7.206
437.847,7.182
444.207,7.158
450.659,7.134
457.205,7.110
463.847,7.085
470.584,7.060
477.420,7.034
484.355,7.009
491.390,6.982
498.528,6.956
505.770,6.929
513.116,6.903
520.570,6.875
528.131,6.847
535.803,6.819
543.586,6.791
551.482,6.761
559.492,6.732
567.619,6.703
575.864,6.673
584.229,6.642
592.715,6.611
601.325,6.580
610.060,6.548
618.921,6.516
627.912,6.483
637.032,6.451
646.286,6.418
