frequency,raw
20.000,1.3034
20.291,1.7337
20.585,1.7077
20.884,1.4298
21.188,1.4511
21.495,1.1478
21.808,0.9034
22.124,0.7537
22.446,0.7409
22.772,0.8146
23.103,0.8759
23.438,0.7802
23.779,0.4003
24.124,-0.2425
24.474,-1.7956
24.830,-2.3211
25.191,-2.5547
25.557,-2.5767
25.928,-2.4940
26.304,-2.2847
26.686,-1.9695
27.074,-1.3839
27.467,0.2848
27.866,1.0511
28.271,1.6844
28.682,2.2032
29.098,3.0404
29.521,3.4117
29.950,3.7539
30.385,4.2584
30.826,4.4049
31.274,4.5052
31.728,4.5054
32.189,4.5103
32.657,4.5557
33.131,4.5981
33.612,4.5895
34.101,4.5450
34.596,4.3901
35.099,4.2875
35.608,4.0088
36.126,3.8479
36.650,3.5007
37.183,3.3238
37.723,3.0091
38.271,2.5759
38.827,2.1664
39.391,1.9109
39.963,1.3928
40.543,1.0031
41.132,0.7686
41.730,0.7339
42.336,0.7808
42.951,0.8132
43.575,0.8857
44.208,1.0400
44.850,1.2138
45.501,1.3848
46.162,1.5673
46.833,1.8114
47.513,2.0879
48.203,2.3227
48.903,2.4692
49.614,2.6251
50.334,2.6835
51.066,2.6011
51.807,2.3780
52.560,2.0601
53.323,2.0488
54.098,2.1479
54.884,2.2804
55.681,2.2679
56.490,2.0272
57.310,1.7468
58.143,1.2689
58.987,0.9209
59.844,0.5272
60.713,0.2733
61.595,0.0977
62.490,-0.1432
63.398,-0.2746
64.319,-0.3760
65.253,-0.4747
66.201,-0.5561
67.162,-0.6714
68.138,-0.7722
69.128,-0.8935
70.132,-0.9416
71.151,-1.0028
72.184,-1.0608
73.233,-1.1006
74.296,-1.1481
75.376,-1.2401
76.470,-1.3841
77.581,-1.5471
78.708,-1.7473
79.851,-1.8872
81.011,-1.9898
82.188,-2.0178
83.382,-2.0198
84.593,-2.0010
85.822,-1.9539
87.068,-1.9021
88.333,-1.7531
89.616,-1.5461
90.918,-1.2761
92.239,-0.9818
93.579,-0.6869
94.938,-0.3840
96.317,0.0886
97.716,0.5452
99.135,1.1453
100.575,1.6880
102.036,2.2481
103.518,2.7154
105.022,3.2069
106.548,3.6584
108.095,3.9457
109.665,4.1936
111.258,4.3514
112.874,4.4597
114.514,4.5444
116.177,4.6026
117.865,4.6445
119.577,4.6669
121.314,4.6765
123.076,4.6474
124.864,4.5974
126.678,4.5217
128.518,4.4463
130.385,4.3274
132.279,4.1886
134.200,3.9965
136.149,3.7884
138.127,3.5767
140.133,3.3938
142.169,3.1567
144.234,2.9043
146.329,2.6349
148.455,2.2517
150.611,1.8936
152.799,1.5211
155.018,1.1438
157.270,0.8378
159.554,0.4573
161.872,0.1422
164.223,-0.1232
166.609,-0.3071
169.029,-0.5228
171.484,-0.8011
173.975,-1.1135
176.502,-1.3786
179.066,-1.5806
181.667,-1.7351
184.306,-1.9023
186.983,-2.0740
189.699,-2.2773
192.455,-2.4436
195.250,-2.5235
198.086,-2.5074
200.964,-2.3884
203.883,-2.2014
206.844,-1.9359
209.849,-1.4696
212.897,-0.9384
215.990,-0.3091
219.127,0.2540
222.310,0.8089
225.539,1.3582
228.815,1.9661
232.139,2.6437
235.511,3.2765
238.932,3.7880
242.403,4.0949
245.924,4.3319
249.496,4.4568
253.120,4.5066
256.797,4.4187
260.527,4.2603
264.311,4.0305
268.151,3.7634
272.046,3.4269
275.997,3.0916
280.006,2.7552
284.074,2.4804
288.200,2.1864
292.386,1.8561
296.633,1.4878
300.942,1.0940
305.314,0.7447
309.748,0.3594
314.248,0.0148
318.812,-0.2303
323.443,-0.3239
328.142,-0.3115
332.908,-0.4251
337.744,-0.5719
342.650,-0.4961
347.627,-0.2931
352.677,-0.0444
357.799,0.2585
362.997,0.4859
368.269,0.6347
373.619,0.7998
379.046,0.8764
384.552,0.8893
390.138,0.9164
395.805,1.0077
401.554,1.1193
407.387,1.2491
413.304,1.4012
419.308,1.5798
425.399,1.7764
431.578,2.0120
437.847,2.2743
444.207,2.5144
450.659,2.7048
457.205,2.8394
463.847,2.9332
470.584,3.0087
477.420,3.1260
484.355,3.2799
491.390,3.4239
498.528,3.5119
505.770,3.5753
513.116,3.6625
520.570,3.7412
528.131,3.7555
535.803,3.6597
543.586,3.4880
551.482,3.3022
559.492,3.0995
567.619,2.9280
575.864,2.8231
584.229,2.7539
592.715,2.6218
601.325,2.3807
610.060,2.0738
618.921,1.6960
627.912,1.3488
637.032,1.0287
646.286,0.6303
655.673,-0.0462
665.198,-0.9010
674.860,-1.7277
684.663,-2.4661
694.608,-3.0218
704.698,-3.1447
714.934,-2.8448
725.319,-2.6317
735.855,-2.6062
746.543,-2.5226
757.387,-2.1960
768.389,-1.5670
779.550,-0.7655
790.874,0.0945
802.362,0.9178
814.017,1.7910
825.841,2.7887
837.837,3.7242
850.007,4.0711
862.354,3.7739
874.880,3.3761
887.588,2.9082
900.481,2.2683
913.561,1.6756
926.831,1.1832
940.294,0.7646
953.953,0.4519
967.810,0.2926
981.868,0.2074
996.130,0.0000
1010.599,-0.4507
1025.279,-1.1274
1040.172,-1.8929
1055.281,-2.5827
1070.610,-2.9147
1086.161,-2.9565
1101.938,-3.0621
1117.945,-3.3846
1134.184,-3.4194
1150.659,-3.4188
1167.373,-3.2072
1184.330,-3.0165
1201.533,-2.9108
1218.986,-3.2593
1236.693,-4.0681
1254.656,-4.9007
1272.881,-5.2509
1291.371,-5.2914
1310.129,-5.4532
1329.159,-5.5237
1348.466,-5.8015
1368.053,-6.2524
1387.925,-6.6759
1408.086,-6.5063
1428.539,-5.8527
1449.290,-5.5915
1470.342,-5.4047
1491.700,-4.8470
1513.367,-4.5570
1535.350,-4.3615
1557.652,-4.2434
1580.278,-4.0567
1603.233,-3.5439
1626.521,-2.6372
1650.147,-1.8881
1674.117,-1.5437
1698.434,-1.3540
1723.105,-1.0097
1748.135,-0.3818
1773.528,0.1489
1799.289,0.4563
1825.425,1.0812
1851.941,1.5642
1878.841,1.7547
1906.133,1.8341
1933.821,1.2300
1961.911,0.8886
1990.409,0.3009
2019.321,0.2881
2048.653,0.0210
2078.411,-0.6218
2108.601,-0.5613
2139.230,-0.3685
2170.304,-0.4441
2201.829,-0.5566
2233.812,-0.5814
2266.260,-0.6783
2299.179,-0.7907
2332.576,-0.8480
2366.458,-0.7176
2400.833,-0.4174
2435.707,-0.2006
2471.087,-0.0383
2506.981,0.2627
2543.397,0.0834
2580.341,-0.1541
2617.823,0.1059
2655.848,0.0376
2694.426,0.0168
2733.565,0.7408
2773.272,1.0466
2813.555,0.7844
2854.424,1.6104
2895.887,3.3560
2937.951,4.3457
2980.627,4.0144
3023.923,3.6534
3067.847,3.6716
3112.410,3.5046
3157.620,3.7213
3203.486,3.9711
3250.019,4.2885
3297.228,4.6406
3345.123,4.5640
3393.713,4.4176
3443.009,4.3284
3493.021,4.4547
3543.759,4.5709
3595.235,4.3959
3647.458,3.3066
3700.440,2.5606
3754.192,3.3306
3808.724,3.5875
3864.048,3.2751
3920.176,3.3039
3977.119,3.5605
4034.890,4.0627
4093.499,3.9353
4152.960,4.0411
4213.285,4.2064
4274.486,4.3789
4336.575,4.7954
4399.567,4.8103
4463.474,4.0759
4528.309,3.7782
4594.086,3.4033
4660.818,3.5240
4728.520,3.6979
4797.205,3.7131
4866.887,3.6296
4937.582,3.6544
5009.304,2.9458
5082.068,2.8748
5155.888,3.0929
5230.781,3.0340
5306.762,2.9174
5383.846,3.4134
5462.050,3.1748
5541.390,2.7068
5621.883,4.1429
5703.544,4.4691
5786.392,5.0130
5870.444,5.2870
5955.716,5.1282
6042.227,5.3861
6129.994,5.8552
6219.037,5.9504
6309.372,6.7459
6401.020,6.8402
6493.999,6.6851
6588.329,6.0583
6684.029,5.9407
6781.119,5.2740
6879.620,5.3141
6979.551,5.2844
7080.934,4.8642
7183.789,5.0770
7288.139,4.9722
7394.004,4.8236
7501.407,4.9583
7610.370,5.5816
7720.916,5.7317
7833.068,5.6335
7946.848,6.2758
8062.282,6.7200
8179.392,6.5607
8298.203,7.0264
8418.740,7.2133
8541.028,7.8867
8665.093,8.6033
8790.959,9.5458
8918.654,10.1404
9048.203,10.7582
9179.635,11.8638
9312.975,12.8503
9448.253,14.2155
9585.495,14.4897
9724.731,15.3336
9865.989,16.0168
10009.300,16.5244
10154.692,17.6877
10302.195,18.9497
10451.842,18.4582
10603.662,18.7511
10757.688,19.8039
10913.950,19.8832
11072.483,19.9676
11233.319,20.0569
11396.490,20.5546
11562.032,20.6790
11729.979,20.7039
11900.365,20.7299
12073.226,20.9589
12248.597,20.9372
12426.517,21.3263
12607.021,21.1489
12790.146,20.8524
12975.932,20.6637
13164.416,21.3021
13355.638,21.6035
13549.638,20.8595
13746.456,20.8641
13946.133,20.7245
14148.710,20.7430
14354.230,20.1363
14562.735,19.9136
14774.268,19.9865
14988.875,19.7317
15206.599,19.6546
15427.485,19.5450
15651.580,18.8362
15878.930,19.1119
16109.582,19.3009
16343.585,19.1603
