frequency,raw
20.000,-72.5367
20.291,-71.1497
20.585,-69.8424
20.884,-68.9448
21.188,-68.6619
21.495,-67.5844
21.808,-66.5566
22.124,-65.8331
22.446,-64.8654
22.772,-63.9895
23.103,-63.2312
23.438,-62.5471
23.779,-62.0974
24.124,-61.2300
24.474,-59.4623
24.830,-58.5576
25.191,-57.7627
25.557,-56.8676
25.928,-55.5376
26.304,-53.8888
26.686,-51.7192
27.074,-49.5988
27.467,-46.4093
27.866,-45.1608
28.271,-44.1798
28.682,-43.4070
29.098,-42.4513
29.521,-41.9301
29.950,-41.4244
30.385,-40.7204
30.826,-40.3427
31.274,-39.8175
31.728,-39.5506
32.189,-39.3387
32.657,-39.0738
33.131,-38.8281
33.612,-38.4920
34.101,-38.2936
34.596,-38.0132
35.099,-37.8975
35.608,-37.6457
36.126,-37.4620
36.650,-37.0259
37.183,-36.8005
37.723,-36.4208
38.271,-35.9995
38.827,-35.6270
39.391,-35.3664
39.963,-34.6729
40.543,-33.8846
41.132,-32.9461
41.730,-32.5230
42.336,-31.9060
42.951,-31.2698
43.575,-30.6112
44.208,-29.9942
44.850,-29.1981
45.501,-28.5092
46.162,-27.7525
46.833,-27.2187
47.513,-26.7063
48.203,-26.2997
48.903,-26.0413
49.614,-25.5553
50.334,-25.1552
51.066,-24.7972
51.807,-24.4872
52.560,-24.2490
53.323,-24.0385
54.098,-23.8456
54.884,-23.5989
55.681,-23.3776
56.490,-23.1044
57.310,-22.8929
58.143,-22.5674
58.987,-22.2865
59.844,-21.8392
60.713,-21.4038
61.595,-21.1379
62.490,-20.8987
63.398,-20.8040
64.319,-20.7029
65.253,-20.5698
66.201,-20.3718
67.162,-20.1469
68.138,-19.9197
69.128,-19.6773
70.132,-19.5224
71.151,-19.3367
72.184,-19.2274
73.233,-19.1170
74.296,-19.0762
75.376,-19.0847
76.470,-19.1015
77.581,-19.0908
78.708,-19.0430
79.851,-18.9772
81.011,-18.9519
82.188,-18.9841
83.382,-19.0958
84.593,-19.2716
85.822,-19.4843
87.068,-19.6724
88.333,-19.9082
89.616,-20.1815
90.918,-20.4422
