frequency,raw
20.000,-60.9605
20.291,-59.9409
20.585,-58.9781
20.884,-58.3843
21.188,-58.1131
21.495,-57.3814
21.808,-56.8060
22.124,-56.6471
22.446,-56.3613
22.772,-56.1633
23.103,-55.9876
23.438,-55.7723
23.779,-55.6659
24.124,-55.3004
24.474,-54.6280
24.830,-54.1719
25.191,-53.6576
25.557,-53.0463
25.928,-52.3112
26.304,-51.5669
26.686,-50.6176
27.074,-49.6026
27.467,-47.7589
27.866,-46.8338
28.271,-45.9928
28.682,-45.2386
29.098,-44.1440
29.521,-43.5385
29.950,-42.9546
30.385,-42.0882
30.826,-41.6310
31.274,-41.0386
31.728,-40.6328
32.189,-40.3923
32.657,-40.0892
33.131,-39.8131
33.612,-39.3014
34.101,-38.9520
34.596,-38.2998
35.099,-38.0000
35.608,-37.5123
36.126,-37.2281
36.650,-36.7411
37.183,-36.5567
37.723,-36.3212
38.271,-35.9092
38.827,-35.4365
39.391,-35.1218
39.963,-34.3811
40.543,-33.5688
41.132,-32.5584
41.730,-32.0988
42.336,-31.4606
42.951,-30.8858
43.575,-30.3678
44.208,-29.9194
44.850,-29.2931
45.501,-28.7166
46.162,-28.0220
46.833,-27.4911
47.513,-26.9031
48.203,-26.3565
48.903,-25.9382
49.614,-25.2711
50.334,-24.7643
51.066,-24.2826
51.807,-23.8709
52.560,-23.5698
53.323,-23.3124
54.098,-23.0301
54.884,-22.6382
55.681,-22.3058
56.490,-21.9091
57.310,-21.6210
58.143,-21.2584
58.987,-20.9987
59.844,-20.7272
60.713,-20.5142
61.595,-20.3440
62.490,-20.0860
63.398,-19.8785
64.319,-19.6586
65.253,-19.4167
66.201,-19.1665
67.162,-18.9035
68.138,-18.6747
69.128,-18.4565
70.132,-18.3243
71.151,-18.1740
72.184,-18.0846
73.233,-17.9930
74.296,-17.9204
75.376,-17.7842
76.470,-17.6260
77.581,-17.4921
78.708,-17.3325
79.851,-17.2195
81.011,-17.1361
82.188,-17.1107
83.382,-17.1096
84.593,-17.1396
85.822,-17.1932
87.068,-17.2436
88.333,-17.3263
89.616,-17.4201
90.918,-17.5338
92.239,-17.6518
93.579,-17.7820
94.938,-17.9239
96.317,-18.1305
97.716,-18.3116
99.135,-18.5384
100.575,-18.7405
102.036,-18.9685
103.518,-19.1564
105.022,-19.3490
106.548,-19.5319
108.095,-19.6688
109.665,-19.8219
111.258,-19.9657
112.874,-20.0855
114.514,-20.2251
116.177,-20.4110
117.865,-20.5912
119.577,-20.7985
121.314,-21.0657
123.076,-21.3914
124.864,-21.7108
126.678,-22.1331
128.518,-22.4952
130.385,-22.9711
132.279,-23.4433
134.200,-24.0243
136.149,-24.6594
138.127,-25.3256
140.133,-25.9200
142.169,-26.6313
144.234,-27.4138
146.329,-28.1697
148.455,-29.0792
150.611,-29.8450
152.799,-30.6497
155.018,-31.5371
157.270,-32.2918
159.554,-33.1199
161.872,-33.7975
164.223,-34.4837
166.609,-35.0663
169.029,-35.5865
171.484,-35.9913
173.975,-36.3122
176.502,-36.5088
179.066,-36.4180
181.667,-36.0581
184.306,-35.4673
186.983,-34.6982
189.699,-33.9832
192.455,-33.2947
195.250,-32.6067
198.086,-32.0110
200.964,-31.5675
203.883,-31.1589
206.844,-30.7703
209.849,-30.4340
212.897,-30.1519
215.990,-29.8533
219.127,-29.5676
222.310,-29.3121
225.539,-29.0752
228.815,-28.8923
232.139,-28.7712
235.511,-28.7038
238.932,-28.7009
242.403,-28.7715
245.924,-28.9029
249.496,-29.0504
253.120,-29.1786
256.797,-29.2776
260.527,-29.3490
264.311,-29.4101
268.151,-29.4641
272.046,-29.5424
275.997,-29.6867
280.006,-29.9040
284.074,-30.1651
288.200,-30.4736
292.386,-30.8127
296.633,-31.1768
300.942,-31.5517
305.314,-31.8561
309.748,-32.1377
314.248,-32.3647
318.812,-32.5871
323.443,-32.8711
328.142,-33.2438
332.908,-33.6816
337.744,-34.1916
342.650,-34.7106
347.627,-35.1633
352.677,-35.5189
357.799,-35.7405
362.997,-35.7841
368.269,-35.7060
373.619,-35.5303
379.046,-35.3228
384.552,-35.1271
390.138,-34.9264
395.805,-34.7501
401.554,-34.5884
407.387,-34.4040
413.304,-34.2142
419.308,-34.0368
425.399,-33.8893
431.578,-33.7288
437.847,-33.5401
444.207,-33.3506
450.659,-33.1488
457.205,-32.9288
463.847,-32.6683
470.584,-32.3887
477.420,-32.1390
484.355,-31.9536
491.390,-31.8572
498.528,-31.8405
505.770,-31.8770
513.116,-31.9541
520.570,-32.0610
528.131,-32.1711
535.803,-32.3073
543.586,-32.4720
551.482,-32.6391
559.492,-32.7878
567.619,-32.9002
575.864,-32.9980
584.229,-33.1078
592.715,-33.1611
601.325,-33.1447
610.060,-33.0744
618.921,-32.8788
627.912,-32.6094
637.032,-32.3196
646.286,-32.0568
655.673,-31.8070
665.198,-31.5561
674.860,-31.2901
684.663,-31.0323
694.608,-30.8533
704.698,-30.7410
714.934,-30.6656
725.319,-30.6498
735.855,-30.7053
746.543,-30.8076
757.387,-30.9603
768.389,-31.1930
779.550,-31.4675
790.874,-31.7949
802.362,-32.1755
814.017,-32.5977
825.841,-33.0300
837.837,-33.4811
850.007,-33.9573
862.354,-34.3694
874.880,-34.5992
887.588,-34.6631
900.481,-34.6560
913.561,-34.5588
926.831,-34.3886
940.294,-34.2993
953.953,-34.3267
967.810,-34.3659
981.868,-34.3948
996.130,-34.2780
1010.599,-33.9991
1025.279,-33.6302
1040.172,-33.0382
