frequency,raw
20.000,-52.3982
20.291,-52.3864
20.585,-52.5275
20.884,-52.6748
21.188,-52.8609
21.495,-53.3882
21.808,-54.0618
22.124,-54.1643
22.446,-54.8475
22.772,-55.4000
23.103,-55.6785
23.438,-55.6566
23.779,-55.5047
24.124,-55.2407
24.474,-54.6974
24.830,-54.3495
25.191,-53.9579
25.557,-53.4693
25.928,-52.8382
26.304,-52.1831
26.686,-51.2784
27.074,-50.2761
27.467,-48.4222
27.866,-47.4765
28.271,-46.6092
28.682,-45.8218
29.098,-44.6454
29.521,-44.0139
29.950,-43.4150
30.385,-42.5355
30.826,-42.0708
31.274,-41.4637
31.728,-41.0219
32.189,-40.7651
32.657,-40.4541
33.131,-40.1820
33.612,-39.6990
34.101,-39.3617
34.596,-38.7189
35.099,-38.4131
35.608,-37.8898
36.126,-37.5720
36.650,-36.9802
37.183,-36.7266
37.723,-36.3678
38.271,-35.9067
38.827,-35.4735
39.391,-35.1910
39.963,-34.5440
40.543,-33.8517
41.132,-32.9218
41.730,-32.4715
42.336,-31.8092
42.951,-31.1962
43.575,-30.6591
44.208,-30.2056
44.850,-29.5791
45.501,-29.0083
46.162,-28.3268
46.833,-27.7954
47.513,-27.2028
48.203,-26.6436
48.903,-26.2145
49.614,-25.5420
50.334,-25.0384
51.066,-24.5536
51.807,-24.1047
52.560,-23.6872
53.323,-23.3620
54.098,-23.0504
54.884,-22.6561
55.681,-22.3397
56.490,-21.9948
57.310,-21.7492
58.143,-21.4516
58.987,-21.2223
59.844,-20.9728
60.713,-20.7612
61.595,-20.5922
62.490,-20.3421
63.398,-20.1462
64.319,-19.9522
65.253,-19.7493
66.201,-19.5560
67.162,-19.3416
68.138,-19.1476
69.128,-18.9579
70.132,-18.8361
71.151,-18.6839
72.184,-18.5857
73.233,-18.4823
74.296,-18.4114
75.376,-18.2885
76.470,-18.1502
77.581,-18.0312
78.708,-17.8841
79.851,-17.7794
81.011,-17.6954
82.188,-17.6649
83.382,-17.6561
84.593,-17.6754
85.822,-17.7163
87.068,-17.7563
88.333,-17.8271
89.616,-17.9121
90.918,-18.0185
92.239,-18.1301
93.579,-18.2537
94.938,-18.3901
96.317,-18.5874
97.716,-18.7582
99.135,-18.9717
100.575,-19.1614
102.036,-19.3748
103.518,-19.5528
105.022,-19.7358
106.548,-19.9110
108.095,-20.0429
109.665,-20.1931
111.258,-20.3388
112.874,-20.4631
114.514,-20.6072
116.177,-20.7942
117.865,-20.9697
119.577,-21.1666
121.314,-21.4178
123.076,-21.7321
124.864,-22.0431
126.678,-22.4565
128.518,-22.8133
130.385,-23.2844
132.279,-23.7538
134.200,-24.3319
136.149,-24.9655
138.127,-25.6317
140.133,-26.2242
142.169,-26.9285
144.234,-27.7005
146.329,-28.4492
148.455,-29.3484
150.611,-30.1045
152.799,-30.8971
155.018,-31.7688
157.270,-32.5118
159.554,-33.3278
161.872,-33.9928
164.223,-34.6656
166.609,-35.2321
169.029,-35.7304
171.484,-36.1095
173.975,-36.3959
176.502,-36.5463
179.066,-36.4107
181.667,-36.0190
184.306,-35.4098
186.983,-34.6408
189.699,-33.9344
192.455,-33.2665
195.250,-32.6108
198.086,-32.0429
200.964,-31.6236
203.883,-31.2440
206.844,-30.8792
209.849,-30.5626
212.897,-30.2982
215.990,-30.0225
219.127,-29.7607
222.310,-29.5292
225.539,-29.3172
228.815,-29.1571
232.139,-29.0574
235.511,-29.0067
238.932,-29.0218
242.403,-29.1044
245.924,-29.2424
249.496,-29.3917
253.120,-29.5138
256.797,-29.5977
260.527,-29.6514
264.311,-29.6909
268.151,-29.7241
272.046,-29.7779
275.997,-29.8946
280.006,-30.0827
284.074,-30.3130
288.200,-30.5907
292.386,-30.8979
296.633,-31.2310
300.942,-31.5706
305.314,-31.8479
309.748,-32.1067
314.248,-32.3138
318.812,-32.5192
323.443,-32.7866
328.142,-33.1385
332.908,-33.5545
337.744,-34.0405
342.650,-34.5454
347.627,-35.0035
352.677,-35.3878
357.799,-35.6750
362.997,-35.7972
368.269,-35.7928
373.619,-35.6928
379.046,-35.5471
384.552,-35.4063
390.138,-35.2627
395.805,-35.1547
401.554,-35.0765
407.387,-34.9886
413.304,-34.8891
419.308,-34.7901
425.399,-34.7003
431.578,-34.5855
437.847,-34.4267
