frequency,raw
20.000,-49.7013
20.291,-49.7752
20.585,-50.0390
20.884,-50.2907
21.188,-50.5523
21.495,-51.3436
21.808,-52.3934
22.124,-52.5945
22.446,-53.7271
22.772,-54.7511
23.103,-55.3899
23.438,-55.5440
23.779,-55.3493
24.124,-55.1819
24.474,-54.7679
24.830,-54.5347
25.191,-54.2806
25.557,-53.9381
25.928,-53.4380
26.304,-52.9014
26.686,-52.0580
27.074,-51.0736
27.467,-49.2054
27.866,-48.2311
28.271,-47.3278
28.682,-46.4955
29.098,-45.2124
29.521,-44.5478
29.950,-43.9301
30.385,-43.0343
30.826,-42.5601
31.274,-41.9349
31.728,-41.4493
32.189,-41.1729
32.657,-40.8526
33.131,-40.5852
33.612,-40.1368
34.101,-39.8140
34.596,-39.1829
35.099,-38.8697
35.608,-38.3033
36.126,-37.9455
36.650,-37.2333
37.183,-36.9035
37.723,-36.4150
38.271,-35.9043
38.827,-35.5109
39.391,-35.2613
39.963,-34.7132
40.543,-34.1544
41.132,-33.3183
41.730,-32.8791
42.336,-32.1884
42.951,-31.5306
43.575,-30.9715
44.208,-30.5120
44.850,-29.8853
45.501,-29.3210
46.162,-28.6547
46.833,-28.1226
47.513,-27.5247
48.203,-26.9510
48.903,-26.5095
49.614,-25.8310
50.334,-25.3308
51.066,-24.8427
51.807,-24.3517
52.560,-23.8079
53.323,-23.4121
54.098,-23.0708
54.884,-22.6741
55.681,-22.3739
56.490,-22.0822
57.310,-21.8813
58.143,-21.6539
58.987,-21.4580
59.844,-21.2331
60.713,-21.0232
61.595,-20.8555
62.490,-20.6143
63.398,-20.4315
64.319,-20.2672
65.253,-20.1096
66.201,-19.9839
67.162,-19.8289
68.138,-19.6783
69.128,-19.5248
70.132,-19.4164
71.151,-19.2619
72.184,-19.1522
73.233,-19.0338
74.296,-18.9650
75.376,-18.8590
76.470,-18.7464
77.581,-18.6468
78.708,-18.5160
79.851,-18.4223
81.011,-18.3374
82.188,-18.3004
83.382,-18.2815
84.593,-18.2869
85.822,-18.3112
87.068,-18.3377
88.333,-18.3933
89.616,-18.4672
90.918,-18.5642
92.239,-18.6678
93.579,-18.7830
94.938,-18.9124
96.317,-19.0980
97.716,-19.2561
99.135,-19.4530
100.575,-19.6276
102.036,-19.8231
103.518,-19.9891
105.022,-20.1605
106.548,-20.3264
108.095,-20.4522
109.665,-20.5992
111.258,-20.7471
112.874,-20.8766
114.514,-21.0262
116.177,-21.2145
117.865,-21.3844
119.577,-21.5688
121.314,-21.8009
123.076,-22.1018
124.864,-22.4028
126.678,-22.8059
128.518,-23.1567
130.385,-23.6220
132.279,-24.0883
134.200,-24.6631
136.149,-25.2948
138.127,-25.9610
140.133,-26.5513
142.169,-27.2476
144.234,-28.0074
146.329,-28.7481
148.455,-29.6353
150.611,-30.3804
152.799,-31.1593
155.018,-32.0136
157.270,-32.7436
159.554,-33.5461
161.872,-34.1974
164.223,-34.8555
166.609,-35.4045
169.029,-35.8793
171.484,-36.2310
173.975,-36.4812
176.502,-36.5843
179.066,-36.4034
181.667,-35.9802
184.306,-35.3530
186.983,-34.5842
189.699,-33.8862
192.455,-33.2386
195.250,-32.6148
198.086,-32.0750
200.964,-31.6805
203.883,-31.3307
206.844,-30.9909
209.849,-30.6952
212.897,-30.4496
215.990,-30.1985
219.127,-29.9628
222.310,-29.7578
225.539,-29.5734
228.815,-29.4391
232.139,-29.3638
235.511,-29.3323
238.932,-29.3683
242.403,-29.4649
245.924,-29.6108
249.496,-29.7621
253.120,-29.8772
256.797,-29.9431
260.527,-29.9765
264.311,-29.9912
268.151,-30.0006
272.046,-30.0269
275.997,-30.1128
280.006,-30.2690
284.074,-30.4661
288.200,-30.7110
292.386,-30.9849
296.633,-31.2859
300.942,-31.5896
305.314,-31.8398
309.748,-32.0759
314.248,-32.2635
318.812,-32.4524
323.443,-32.7037
328.142,-33.0358
332.908,-33.4310
337.744,-33.8944
342.650,-34.3863
347.627,-34.8493
