frequency,raw
20.000,-52.0905
20.291,-50.9508
20.585,-49.9666
20.884,-49.3661
21.188,-49.0738
21.495,-48.1466
21.808,-47.0844
22.124,-46.1624
22.446,-44.9655
22.772,-43.8832
23.103,-42.9943
23.438,-42.3193
23.779,-42.0933
24.124,-41.6914
24.474,-41.0558
24.830,-40.4792
25.191,-39.8001
25.557,-38.9928
25.928,-37.9988
26.304,-36.9946
26.686,-35.5614
27.074,-34.0171
27.467,-31.2699
27.866,-29.9816
28.271,-28.8501
28.682,-27.8624
29.098,-26.4384
29.521,-25.7328
29.950,-25.0808
30.385,-24.1477
30.826,-23.6596
31.274,-23.0205
31.728,-22.5398
32.189,-22.2305
32.657,-21.7592
33.131,-21.3813
33.612,-20.7439
34.101,-20.3503
34.596,-19.6323
35.099,-19.2959
35.608,-18.7143
36.126,-18.3476
36.650,-17.5907
37.183,-17.2246
37.723,-16.6818
38.271,-16.1412
38.827,-15.7693
39.391,-15.5405
39.963,-15.1161
40.543,-14.8288
41.132,-14.3314
41.730,-14.0541
42.336,-13.6441
42.951,-13.3056
43.575,-13.0955
44.208,-12.9543
44.850,-12.6914
45.501,-12.5043
46.162,-12.2859
46.833,-12.1240
47.513,-11.9393
48.203,-11.7811
48.903,-11.6948
49.614,-11.5539
50.334,-11.4411
51.066,-11.3598
51.807,-11.3388
52.560,-11.3443
53.323,-11.3584
54.098,-11.3279
54.884,-11.2701
55.681,-11.2495
56.490,-11.3068
57.310,-11.3594
58.143,-11.4133
58.987,-11.4606
59.844,-11.5132
60.713,-11.5258
61.595,-11.5022
62.490,-11.3828
63.398,-11.1524
64.319,-10.8695
65.253,-10.5439
66.201,-10.2950
67.162,-10.0088
68.138,-9.7681
69.128,-9.5120
70.132,-9.3014
71.151,-9.0484
72.184,-8.9086
73.233,-8.7594
74.296,-8.6739
75.376,-8.5520
76.470,-8.4309
77.581,-8.3620
78.708,-8.2991
79.851,-8.2916
81.011,-8.3490
82.188,-8.4302
83.382,-8.5860
84.593,-8.7626
85.822,-8.9485
87.068,-9.1176
88.333,-9.3323
89.616,-9.5796
90.918,-9.7917
92.239,-9.9832
93.579,-10.1610
94.938,-10.3313
96.317,-10.5397
97.716,-10.6811
99.135,-10.8239
100.575,-10.8230
102.036,-10.8126
103.518,-10.6787
105.022,-10.5288
106.548,-10.2700
108.095,-9.9834
109.665,-9.6846
111.258,-9.4117
112.874,-9.1898
114.514,-8.9669
116.177,-8.7791
117.865,-8.6402
119.577,-8.5306
121.314,-8.4290
123.076,-8.4210
124.864,-8.4475
126.678,-8.5208
128.518,-8.6126
130.385,-8.7645
132.279,-8.9688
134.200,-9.2286
136.149,-9.5396
138.127,-9.8829
140.133,-10.2001
142.169,-10.5752
144.234,-11.0112
146.329,-11.4454
148.455,-11.9871
150.611,-12.4471
152.799,-12.9401
155.018,-13.5003
157.270,-14.0096
159.554,-14.5616
161.872,-15.0201
164.223,-15.5032
166.609,-15.9402
169.029,-16.3667
171.484,-16.7144
173.975,-16.9866
176.502,-17.1348
179.066,-17.0444
181.667,-16.7395
184.306,-16.2390
186.983,-15.5709
189.699,-14.9589
192.455,-14.3864
195.250,-13.8084
198.086,-13.2962
200.964,-12.9270
203.883,-12.6128
206.844,-12.3057
209.849,-12.0394
212.897,-11.8193
215.990,-11.5954
219.127,-11.3895
222.310,-11.2115
225.539,-11.0467
228.815,-10.9255
232.139,-10.8580
235.511,-10.8415
238.932,-10.8932
242.403,-11.0036
245.924,-11.1723
249.496,-11.3442
253.120,-11.4797
256.797,-11.5628
260.527,-11.6060
264.311,-11.6242
268.151,-11.6261
272.046,-11.6286
275.997,-11.6781
280.006,-11.8087
284.074,-11.9895
288.200,-12.2222
292.386,-12.4927
296.633,-12.7841
300.942,-13.0764
305.314,-13.3096
309.748,-13.5176
314.248,-13.6824
318.812,-13.8439
323.443,-14.0439
328.142,-14.3118
332.908,-14.6354
337.744,-15.0138
342.650,-15.4262
347.627,-15.8221
352.677,-16.1437
357.799,-16.4094
362.997,-16.5269
368.269,-16.5086
373.619,-16.3759
379.046,-16.1818
384.552,-15.9897
390.138,-15.7959
395.805,-15.6354
401.554,-15.4926
407.387,-15.3370
413.304,-15.1655
419.308,-14.9898
425.399,-14.8246
431.578,-14.6245
437.847,-14.3539
444.207,-14.0304
450.659,-13.6004
457.205,-13.1210
463.847,-12.6498
470.584,-12.2285
477.420,-11.9211
484.355,-11.7335
491.390,-11.6525
498.528,-11.6408
505.770,-11.6691
513.116,-11.7360
520.570,-11.8393
528.131,-11.9514
535.803,-12.0862
543.586,-12.2448
551.482,-12.4341
559.492,-12.6589
567.619,-12.9127
575.864,-13.2051
584.229,-13.5258
592.715,-13.7601
