frequency,raw
20.000,-39.3282
20.291,-39.3282
20.585,-39.3282
20.884,-40.0601
21.188,-40.0601
21.495,-44.0083
21.808,-43.9885
22.124,-43.9357
22.446,-43.6804
22.772,-43.6804
23.103,-43.7770
23.438,-43.7239
23.779,-43.6294
24.124,-43.6294
24.474,-43.5845
24.830,-42.7039
25.191,-42.6505
25.557,-42.5971
25.928,-42.5438
26.304,-41.2636
26.686,-40.9144
27.074,-40.8961
27.467,-38.9314
27.866,-38.9029
28.271,-38.3251
28.682,-38.2938
29.098,-36.0637
29.521,-36.0483
29.950,-35.2624
30.385,-33.7128
30.826,-33.7663
31.274,-32.9550
31.728,-32.1729
32.189,-32.1729
32.657,-31.8330
33.131,-31.2659
33.612,-31.3025
34.101,-31.1308
34.596,-30.6353
35.099,-30.6353
35.608,-30.3246
36.126,-30.3779
36.650,-29.4786
37.183,-29.4786
37.723,-29.5209
38.271,-28.6883
38.827,-28.6931
39.391,-28.2584
39.963,-28.0507
40.543,-27.5719
41.132,-27.2604
41.730,-27.3137
42.336,-26.4451
42.951,-26.0611
43.575,-25.0370
44.208,-25.0902
44.850,-23.5726
45.501,-23.5914
46.162,-22.0572
46.833,-22.0979
47.513,-21.2882
48.203,-20.8678
48.903,-20.3363
49.614,-19.6019
50.334,-19.6413
51.066,-18.8904
51.807,-18.8505
52.560,-18.6692
53.323,-18.3007
54.098,-18.2061
54.884,-17.8781
55.681,-17.8781
56.490,-17.6137
57.310,-17.5602
58.143,-17.3600
58.987,-17.2016
59.844,-17.1210
60.713,-16.9377
61.595,-16.7837
62.490,-16.7248
63.398,-16.6303
64.319,-16.4691
65.253,-16.3570
66.201,-16.2942
67.162,-16.2279
68.138,-16.0716
69.128,-16.0085
70.132,-15.9807
71.151,-15.8538
72.184,-15.8403
73.233,-15.7627
74.296,-15.6688
75.376,-15.5953
76.470,-15.4756
77.581,-15.3429
78.708,-15.2974
79.851,-15.2074
81.011,-15.1204
82.188,-15.0842
83.382,-15.0791
84.593,-15.0283
85.822,-14.9945
87.068,-15.0232
88.333,-15.0999
89.616,-15.1807
90.918,-15.2830
92.239,-15.3722
93.579,-15.4839
94.938,-15.6519
96.317,-15.8866
97.716,-16.0938
99.135,-16.2711
100.575,-16.4128
102.036,-16.5340
103.518,-16.4698
105.022,-16.5625
106.548,-16.7309
108.095,-16.8132
109.665,-16.8707
111.258,-16.9468
112.874,-17.0465
114.514,-17.0843
116.177,-17.2176
117.865,-17.3032
119.577,-17.4025
121.314,-17.5119
123.076,-17.7600
124.864,-17.9230
126.678,-18.3884
128.518,-18.6195
130.385,-18.9006
132.279,-19.2983
134.200,-19.5862
136.149,-20.1143
138.127,-20.8152
140.133,-21.3993
142.169,-21.8601
144.234,-22.4832
146.329,-23.1444
148.455,-23.8596
150.611,-24.4712
152.799,-25.0865
155.018,-25.7788
157.270,-26.2903
159.554,-27.0814
161.872,-27.5429
164.223,-27.8247
166.609,-28.4074
169.029,-28.7901
171.484,-29.3729
173.975,-29.6247
176.502,-29.8847
179.066,-29.6143
181.667,-29.2818
184.306,-28.7035
186.983,-28.0378
189.699,-27.3387
192.455,-26.7299
195.250,-26.2641
198.086,-25.7755
200.964,-25.4014
203.883,-25.2466
206.844,-25.0001
209.849,-24.7516
212.897,-24.4776
215.990,-24.2283
219.127,-23.9995
222.310,-23.8056
225.539,-23.7028
228.815,-23.6618
232.139,-23.6112
235.511,-23.6244
238.932,-23.7855
242.403,-23.9545
245.924,-24.2072
249.496,-24.4568
253.120,-24.6174
256.797,-24.7565
