frequency,raw
20.000,-42.1755
20.291,-42.1755
20.585,-42.1755
20.884,-42.5653
21.188,-42.5653
21.495,-45.5517
21.808,-45.5319
22.124,-45.4790
22.446,-43.8842
22.772,-43.8842
23.103,-43.3742
23.438,-43.3210
23.779,-43.0076
24.124,-43.0076
24.474,-42.9626
24.830,-42.1062
25.191,-42.0528
25.557,-41.9995
25.928,-41.9462
26.304,-41.1264
26.686,-40.6914
27.074,-40.6730
27.467,-39.6922
27.866,-39.6637
28.271,-39.4626
28.682,-39.4313
29.098,-37.8308
29.521,-37.8154
29.950,-37.2152
30.385,-35.9152
30.826,-35.9687
31.274,-35.2315
31.728,-34.4492
32.189,-34.4492
32.657,-33.9317
33.131,-33.4334
33.612,-33.4701
34.101,-33.1389
34.596,-32.6350
35.099,-32.6350
35.608,-32.2209
36.126,-32.2741
36.650,-31.3656
37.183,-31.3656
37.723,-31.4079
38.271,-30.5167
38.827,-30.5214
39.391,-29.9726
39.963,-29.7132
40.543,-29.1884
41.132,-28.8814
41.730,-28.9346
42.336,-28.1993
42.951,-27.8345
43.575,-26.9424
44.208,-26.9955
44.850,-25.5341
45.501,-25.5529
46.162,-24.1275
46.833,-24.1682
47.513,-23.4745
48.203,-23.0645
48.903,-22.5422
49.614,-21.8157
50.334,-21.8552
51.066,-21.0886
51.807,-21.0487
52.560,-20.7935
53.323,-20.4269
54.098,-20.2337
54.884,-19.8175
55.681,-19.8175
56.490,-19.4983
57.310,-19.4448
58.143,-19.1489
58.987,-18.9378
59.844,-18.7854
60.713,-18.5922
61.595,-18.3484
62.490,-18.2386
63.398,-18.0704
64.319,-17.7848
65.253,-17.6119
66.201,-17.5122
67.162,-17.4414
68.138,-17.3122
69.128,-17.2400
70.132,-17.2560
71.151,-17.1396
72.184,-17.1420
73.233,-17.0852
74.296,-16.9874
75.376,-17.0085
76.470,-17.0258
77.581,-17.0154
78.708,-17.0548
79.851,-17.1353
81.011,-17.2303
82.188,-17.1942
83.382,-17.3940
84.593,-17.5519
85.822,-17.7080
87.068,-17.8387
88.333,-18.1136
89.616,-18.4276
90.918,-18.7848
92.239,-19.1293
93.579,-19.3153
94.938,-19.6818
96.317,-20.1004
97.716,-20.6048
99.135,-21.1126
100.575,-21.7215
102.036,-22.1885
103.518,-22.2131
105.022,-22.6467
106.548,-23.1014
108.095,-23.4386
109.665,-23.7334
111.258,-23.9162
112.874,-24.0734
114.514,-24.1442
116.177,-24.2718
117.865,-24.3681
119.577,-24.4533
121.314,-24.5290
123.076,-24.6709
124.864,-24.7580
126.678,-25.0082
128.518,-25.1400
130.385,-25.3204
132.279,-25.5635
134.200,-25.7279
136.149,-26.0651
138.127,-26.4591
140.133,-26.8511
142.169,-27.1505
144.234,-27.5957
146.329,-28.0835
148.455,-28.6292
150.611,-29.1496
152.799,-29.6536
155.018,-30.1868
157.270,-30.6173
159.554,-31.2385
161.872,-31.6345
164.223,-31.8380
166.609,-32.2887
169.029,-32.5603
171.484,-33.0302
173.975,-33.2153
176.502,-33.3303
179.066,-32.9809
181.667,-32.5732
184.306,-31.9346
186.983,-31.2615
189.699,-30.5164
192.455,-29.8301
195.250,-29.3194
198.086,-28.7484
200.964,-28.2890
203.883,-28.0421
206.844,-27.7646
209.849,-27.4949
212.897,-27.2137
215.990,-26.9657
219.127,-26.7561
222.310,-26.6037
225.539,-26.5223
228.815,-26.5103
232.139,-26.4848
235.511,-26.5151
238.932,-26.6687
242.403,-26.8287
245.924,-27.0322
249.496,-27.2478
253.120,-27.4108
256.797,-27.5570
260.527,-27.6677
264.311,-27.7379
268.151,-27.8385
272.046,-27.9582
275.997,-28.1238
280.006,-28.3187
284.074,-28.5262
288.200,-28.8619
292.386,-29.2378
296.633,-29.7125
300.942,-30.1820
305.314,-30.5941
309.748,-31.1273
314.248,-31.5470
318.812,-31.9688
323.443,-32.5460
328.142,-33.2398
332.908,-33.9925
337.744,-34.7547
342.650,-35.5110
347.627,-35.9583
352.677,-36.1631
357.799,-36.2003
362.997,-36.1627
368.269,-36.0541
373.619,-35.7523
379.046,-35.4435
384.552,-35.0434
390.138,-34.3971
395.805,-33.6873
401.554,-33.0157
407.387,-32.2914
413.304,-31.7427
419.308,-31.3423
425.399,-31.2146
431.578,-31.1304
437.847,-31.1353
444.207,-31.2032
450.659,-31.2867
457.205,-31.3116
463.847,-31.3434
470.584,-31.3814
477.420,-31.4295
484.355,-31.5554
491.390,-31.7096
498.528,-31.9655
505.770,-32.4000
513.116,-33.2818
520.570,-34.1050
528.131,-35.0423
535.803,-35.7341
543.586,-36.3945
551.482,-36.8655
559.492,-37.1617
567.619,-37.2344
575.864,-36.8215
584.229,-36.1962
592.715,-35.5503
601.325,-35.3630
610.060,-35.4712
618.921,-35.7673
627.912,-36.0381
637.032,-36.1588
646.286,-36.1526
655.673,-36.1209
665.198,-36.0688
674.860,-35.9848
684.663,-35.7988
694.608,-35.1278
704.698,-34.1106
714.934,-33.1328
725.319,-32.5354
735.855,-32.3642
746.543,-32.5189
757.387,-32.7633
768.389,-32.9810
779.550,-32.9770
790.874,-32.8347
802.362,-32.6284
814.017,-32.3292
825.841,-31.9688
837.837,-31.4850
850.007,-30.9288
862.354,-30.4054
874.880,-30.1448
887.588,-29.9476
900.481,-29.8925
913.561,-29.9765
926.831,-29.9224
940.294,-29.7732
953.953,-29.3716
967.810,-28.9052
981.868,-28.5400
996.130,-28.4330
1010.599,-28.5184
1025.279,-28.6310
1040.172,-28.4453
1055.281,-27.9546
1070.610,-27.4492
1086.161,-27.3129
1101.938,-26.3584
1117.945,-25.0514
1134.184,-23.6526
1150.659,-22.4779
1167.373,-21.7486
1184.330,-21.1468
1201.533,-20.4502
1218.986,-19.9408
1236.693,-19.6629
1254.656,-19.4189
1272.881,-19.1703
1291.371,-18.9341
1310.129,-18.7334
1329.159,-18.5756
1348.466,-18.5570
1368.053,-18.5436
1387.925,-18.6709
1408.086,-18.7907
1428.539,-18.8355
1449.290,-19.1286
1470.342,-19.5975
1491.700,-20.0173
1513.367,-20.3195
1535.350,-20.2850
1557.652,-20.1871
1580.278,-20.2061
1603.233,-20.2200
1626.521,-20.2572
1650.147,-20.0969
1674.117,-19.8369
1698.434,-19.5419
1723.105,-19.5361
1748.135,-19.6042
1773.528,-19.9119
1799.289,-20.4863
1825.425,-20.8799
1851.941,-20.9055
1878.841,-21.0455
1906.133,-21.4670
1933.821,-22.0786
1961.911,-22.7672
1990.409,-23.4090
2019.321,-23.6497
2048.653,-23.7455
2078.411,-24.0055
2108.601,-24.6278
2139.230,-25.7116
2170.304,-26.2166
2201.829,-26.5500
2233.812,-27.0043
2266.260,-27.1275
2299.179,-27.2215
2332.576,-27.5151
2366.458,-27.5586
