frequency,raw
20.000,-73.3419
20.291,-72.3183
20.585,-71.3042
20.884,-70.6010
21.188,-70.3200
21.495,-69.3966
21.808,-68.5475
22.124,-68.0721
22.446,-67.4584
22.772,-66.9924
23.103,-66.5775
23.438,-66.1626
23.779,-65.9570
24.124,-65.4755
24.474,-64.6041
24.830,-64.1282
25.191,-63.7618
25.557,-63.4899
25.928,-63.2559
26.304,-63.0905
26.686,-62.6778
27.074,-61.9805
27.467,-59.7346
27.866,-58.1740
28.271,-56.5473
28.682,-54.9066
29.098,-52.1596
29.521,-50.8881
29.950,-49.7680
30.385,-48.1713
30.826,-47.4764
31.274,-46.6202
31.728,-45.7993
32.189,-45.3731
32.657,-44.8513
33.131,-44.5765
33.612,-44.2248
34.101,-43.9626
34.596,-43.4651
35.099,-43.2136
35.608,-42.8472
36.126,-42.6177
36.650,-42.0914
37.183,-41.8394
37.723,-41.4880
38.271,-41.1418
38.827,-40.8571
39.391,-40.6934
39.963,-40.3958
40.543,-40.1184
41.132,-39.6794
41.730,-39.4611
42.336,-39.0529
42.951,-38.5349
43.575,-37.9594
44.208,-37.4048
44.850,-36.7045
45.501,-36.0722
46.162,-35.3484
46.833,-34.8069
47.513,-34.2486
48.203,-33.7115
48.903,-33.3289
49.614,-32.8239
50.334,-32.4528
51.066,-32.0167
51.807,-31.6316
52.560,-31.3715
53.323,-31.0981
54.098,-30.8213
54.884,-30.5661
55.681,-30.3731
56.490,-30.1183
57.310,-29.8952
58.143,-29.6470
58.987,-29.4619
59.844,-29.2503
60.713,-29.0312
61.595,-28.8941
62.490,-28.6849
63.398,-28.5019
64.319,-28.3214
65.253,-28.1479
66.201,-27.9866
67.162,-27.8376
68.138,-27.7423
69.128,-27.6644
70.132,-27.6143
71.151,-27.5185
72.184,-27.4592
73.233,-27.4120
74.296,-27.3730
75.376,-27.3398
76.470,-27.3240
77.581,-27.3161
78.708,-27.3394
79.851,-27.3906
81.011,-27.4645
82.188,-27.5432
83.382,-27.7218
84.593,-27.8828
85.822,-28.0295
87.068,-28.1882
88.333,-28.4342
89.616,-28.7533
90.918,-29.0751
92.239,-29.3911
93.579,-29.6852
94.938,-30.0260
96.317,-30.5361
97.716,-30.9589
99.135,-31.4876
100.575,-31.9154
102.036,-32.3282
103.518,-32.6131
105.022,-32.9778
106.548,-33.4147
108.095,-33.6992
109.665,-33.9394
111.258,-34.1543
112.874,-34.3423
114.514,-34.4731
116.177,-34.5946
117.865,-34.7015
119.577,-34.8020
121.314,-34.9138
123.076,-35.0284
124.864,-35.1366
126.678,-35.3150
128.518,-35.4891
130.385,-35.7143
132.279,-35.9031
134.200,-36.1513
136.149,-36.4443
138.127,-36.7918
140.133,-37.1312
142.169,-37.5135
144.234,-37.9483
146.329,-38.3879
148.455,-38.9149
150.611,-39.3714
152.799,-39.8403
155.018,-40.3033
157.270,-40.7189
159.554,-41.1626
161.872,-41.5097
164.223,-41.8574
166.609,-42.1673
169.029,-42.4966
171.484,-42.8248
173.975,-43.1140
176.502,-43.2202
179.066,-43.0837
181.667,-42.7541
184.306,-42.2725
186.983,-41.6327
189.699,-41.0368
192.455,-40.4918
195.250,-39.9589
198.086,-39.4916
200.964,-39.1578
203.883,-38.9045
206.844,-38.6566
209.849,-38.4197
212.897,-38.1835
215.990,-37.9443
219.127,-37.7301
222.310,-37.5796
225.539,-37.4994
228.815,-37.4664
232.139,-37.4313
235.511,-37.4447
238.932,-37.5759
242.403,-37.7405
245.924,-37.9395
249.496,-38.1126
253.120,-38.2460
256.797,-38.3437
260.527,-38.4262
264.311,-38.5018
268.151,-38.5648
272.046,-38.6819
275.997,-38.8599
280.006,-39.0579
284.074,-39.2795
288.200,-39.6136
292.386,-39.9820
296.633,-40.4337
300.942,-40.9177
305.314,-41.3638
309.748,-41.8332
314.248,-42.2476
318.812,-42.7240
323.443,-43.3102
328.142,-43.9962
332.908,-44.6989
337.744,-45.4945
342.650,-46.2507
347.627,-46.7346
352.677,-46.8960
357.799,-46.9139
362.997,-46.8756
368.269,-46.7471
373.619,-46.4144
379.046,-46.0370
384.552,-45.5066
390.138,-44.8228
395.805,-44.1507
401.554,-43.4948
407.387,-42.8051
413.304,-42.2646
419.308,-41.9157
425.399,-41.7699
431.578,-41.7095
437.847,-41.7218
444.207,-41.7923
450.659,-41.8748
457.205,-41.8921
463.847,-41.9091
470.584,-41.9414
477.420,-41.9907
484.355,-42.1119
491.390,-42.3025
498.528,-42.5341
505.770,-43.0375
513.116,-43.8771
520.570,-44.8147
528.131,-45.6548
535.803,-46.3965
543.586,-46.9916
551.482,-47.4166
559.492,-47.6769
567.619,-47.6629
575.864,-47.2024
584.229,-46.4733
592.715,-45.8341
601.325,-45.6010
610.060,-45.7011
618.921,-45.9820
627.912,-46.2287
637.032,-46.3091
646.286,-46.2640
655.673,-46.2011
665.198,-46.2087
674.860,-46.1911
684.663,-46.0396
694.608,-45.4406
704.698,-44.4127
714.934,-43.5033
725.319,-43.0018
735.855,-42.9175
746.543,-43.1203
757.387,-43.3958
768.389,-43.6365
779.550,-43.5522
790.874,-43.1866
802.362,-42.7446
814.017,-42.2728
825.841,-41.8039
837.837,-41.2189
850.007,-40.6186
862.354,-40.1497
874.880,-39.8334
887.588,-39.6004
900.481,-39.5121
913.561,-39.5565
926.831,-39.5187
940.294,-39.3735
953.953,-39.0077
967.810,-38.5580
981.868,-38.1742
996.130,-37.9614
1010.599,-37.9773
1025.279,-37.9980
1040.172,-37.8143
1055.281,-37.3581
1070.610,-36.8399
1086.161,-36.7420
1101.938,-36.1557
1117.945,-35.1372
1134.184,-33.9442
1150.659,-32.7385
1167.373,-32.0368
1184.330,-31.4579
1201.533,-30.8257
