frequency,raw
20.000,-36.5038
20.291,-36.5038
20.585,-36.5038
20.884,-37.3964
21.188,-37.3964
21.495,-41.4066
21.808,-41.3868
22.124,-41.3339
22.446,-41.0665
22.772,-41.0665
23.103,-41.5678
23.438,-41.5147
23.779,-41.1962
24.124,-41.1962
24.474,-41.1513
24.830,-41.0293
25.191,-40.9759
25.557,-40.9225
25.928,-40.8692
26.304,-40.5449
26.686,-40.2621
27.074,-40.2437
27.467,-38.5229
27.866,-38.4944
28.271,-38.2014
28.682,-38.1701
29.098,-35.8150
29.521,-35.7996
29.950,-35.1827
30.385,-33.0856
30.826,-33.1392
31.274,-32.3005
31.728,-31.0451
32.189,-31.0451
32.657,-30.3780
33.131,-29.7296
33.612,-29.7663
34.101,-29.3883
34.596,-28.7988
35.099,-28.7988
35.608,-28.4460
36.126,-28.4992
36.650,-27.5424
37.183,-27.5424
37.723,-27.5847
38.271,-26.9158
38.827,-26.9205
39.391,-26.7038
39.963,-26.5370
40.543,-26.4854
41.132,-26.2863
41.730,-26.3396
42.336,-26.0808
42.951,-25.8497
43.575,-25.5406
44.208,-25.5937
44.850,-25.1266
45.501,-25.1454
46.162,-24.6260
46.833,-24.6667
47.513,-24.3972
48.203,-24.2364
48.903,-24.1194
49.614,-23.9843
50.334,-24.0238
51.066,-23.8261
51.807,-23.7862
52.560,-23.9465
53.323,-23.8203
54.098,-24.0141
54.884,-24.2541
55.681,-24.2541
56.490,-24.5365
57.310,-24.4830
58.143,-24.9044
58.987,-24.9703
59.844,-25.3377
60.713,-25.3082
61.595,-25.5824
62.490,-25.8307
63.398,-25.6556
64.319,-25.6082
65.253,-25.3536
66.201,-25.3798
67.162,-25.1591
68.138,-24.8495
69.128,-24.7368
70.132,-24.5398
71.151,-24.1734
72.184,-24.0697
73.233,-23.8408
74.296,-23.6332
75.376,-23.5711
76.470,-23.4134
77.581,-23.2763
78.708,-23.2929
79.851,-23.2453
81.011,-23.2002
82.188,-23.1640
83.382,-23.2365
84.593,-23.3043
85.822,-23.4140
87.068,-23.5217
88.333,-23.7644
89.616,-24.0394
90.918,-24.3205
92.239,-24.5596
93.579,-24.6884
94.938,-24.9557
96.317,-25.2501
97.716,-25.5269
99.135,-25.7259
100.575,-25.7334
102.036,-25.7265
103.518,-25.4863
105.022,-25.3770
106.548,-25.2744
108.095,-25.0382
109.665,-24.5115
111.258,-24.2888
112.874,-24.0936
114.514,-23.8649
116.177,-23.6299
117.865,-23.5117
119.577,-23.3929
121.314,-23.2822
123.076,-23.2395
124.864,-23.2008
126.678,-23.2269
128.518,-23.2705
130.385,-23.3488
132.279,-23.5163
134.200,-23.6257
136.149,-23.9036
138.127,-24.2940
140.133,-24.6560
142.169,-24.9401
144.234,-25.3329
146.329,-25.7658
148.455,-26.2083
150.611,-26.6837
152.799,-27.1613
155.018,-27.5942
157.270,-27.9793
159.554,-28.5553
161.872,-28.9409
164.223,-29.1529
166.609,-29.5968
169.029,-29.8751
171.484,-30.3482
173.975,-30.5622
176.502,-30.8359
179.066,-30.7526
181.667,-30.7034
184.306,-30.3661
186.983,-29.8023
189.699,-29.0889
192.455,-28.4310
195.250,-27.9478
198.086,-27.4197
200.964,-26.9830
203.883,-26.7935
206.844,-26.5591
209.849,-26.3270
212.897,-26.0988
215.990,-25.8884
219.127,-25.7029
222.310,-25.5427
225.539,-25.4250
228.815,-25.3447
232.139,-25.2463
235.511,-25.2036
238.932,-25.3356
242.403,-25.5041
245.924,-25.7558
249.496,-26.0329
253.120,-26.2351
256.797,-26.3960
260.527,-26.4869
264.311,-26.4892
268.151,-26.4729
272.046,-26.4354
275.997,-26.3837
280.006,-26.3051
284.074,-26.2420
288.200,-26.2875
292.386,-26.3831
296.633,-26.6165
300.942,-26.8197
305.314,-27.0076
309.748,-27.2009
314.248,-27.2425
318.812,-27.3610
323.443,-27.4436
328.142,-27.5515
332.908,-27.6957
337.744,-27.9115
342.650,-28.2231
347.627,-28.5222
352.677,-28.8437
357.799,-29.1526
362.997,-29.4493
368.269,-29.6680
373.619,-29.8139
379.046,-29.9143
384.552,-29.8658
390.138,-29.5777
395.805,-29.2616
401.554,-29.0049
407.387,-28.7243
413.304,-28.5307
419.308,-28.3301
425.399,-28.2201
431.578,-28.0818
437.847,-27.9448
444.207,-27.8136
450.659,-27.6860
457.205,-27.4740
463.847,-27.2166
470.584,-26.9834
477.420,-26.7884
484.355,-26.6919
491.390,-26.6618
498.528,-26.6989
505.770,-26.8655
513.116,-27.2365
520.570,-27.4981
528.131,-27.7520
535.803,-27.9394
543.586,-28.1230
551.482,-28.2778
559.492,-28.4680
567.619,-28.7090
575.864,-28.9868
584.229,-29.3201
592.715,-29.6841
601.325,-30.0510
610.060,-30.3639
618.921,-30.5338
627.912,-30.5330
637.032,-30.4298
646.286,-30.2589
655.673,-30.0183
665.198,-29.7356
674.860,-29.4723
684.663,-29.2529
694.608,-28.9882
704.698,-28.7104
714.934,-28.4376
725.319,-28.2861
735.855,-28.2565
746.543,-28.2565
757.387,-28.2570
768.389,-28.2851
779.550,-28.3133
790.874,-28.2964
802.362,-28.1761
814.017,-28.0099
825.841,-27.9255
837.837,-27.9535
850.007,-27.9693
862.354,-27.9791
874.880,-27.9500
887.588,-27.8204
900.481,-27.5814
913.561,-27.3232
926.831,-27.0888
940.294,-26.9639
953.953,-26.9243
967.810,-26.9056
981.868,-26.8250
996.130,-26.7401
1010.599,-26.6730
1025.279,-26.5940
1040.172,-26.5114
1055.281,-26.3922
1070.610,-26.1251
1086.161,-25.8530
1101.938,-25.7163
1117.945,-25.8009
1134.184,-25.9450
1150.659,-26.0712
1167.373,-26.2173
